id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
premierbet.co.ao,1,1,1300810,6.6204,0.5854,,
premierbetpartners.com,2,-1,1111360,1.0806,0.9702,,
elephantbet.co.ao,3,0,395132,3.4363,0.3561,,
betano.pt,4,0,225744,1.0625,0.9375,,
kaizengaming.com,5,0,99278,2.279,0.2894,,
premierbet.com,6,-1,83845,1.3711,0.7713,,
bet365.com,7,1,45343,1.0,1.0,,Bet365
joueurs-info-service.fr,8,0,14109,1.0,1.0,,
oddspedia.com,9,2,11571,3.3544,0.5617,,
betclic.pt,10,7,11506,5.3689,0.3336,,
sportradar.com,11,-7,11246,6.1599,0.275,,
livescore.in,12,1,9262,8.7997,0.1574,https://static.semrush.com/power-pages/media/favicons/www-livescore-in-favicon-2a0011d0.png,LiveScore India
footballpredictions.net,13,-1,4372,2.6466,0.5691,,
sportytrader.pt,14,0,3853,1.0,1.0,,
sportytrader.com,15,8,3563,1.1196,0.8804,,
echtgeld-casino.net,16,-1,3090,1.0,1.0,,
windrawwin.com,17,3,1884,1.0027,0.9995,,
1xbet.com,18,-11,1547,2.9974,0.0013,,
protipster.pt,19,2,1457,3.8277,0.2931,,
mega.io,20,-2,1033,1.0029,0.9981,,
