id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
unibo.it,1,0,56436,1.0,1.0,,
usp.br,2,0,6251,1.4801,0.6847,,
uni-trier.de,3,0,6182,2.9162,0.0835,,
ulisboa.pt,4,1,3942,2.5452,0.5,,
sciencedirect.com,5,-1,2575,1.6,0.6,,ScienceDirect
elsevier.com,6,0,2060,2.75,0.0,https://static.semrush.com/power-pages/media/favicons/elsevier-com-favicon-c0e62f50.png,Elsevier
esa.int,7,0,1547,2.6645,0.3342,,
wiley.com,8,2,1546,1.0,1.0,,John Wiley & Sons
fao.org,9,0,1035,9.4802,0.0019,,
copernicus.eu,10,2,1030,3.0,0.5,,
semanticscholar.org,11,0,1030,1.5,0.5,,
space.com,12,-4,516,1.0,1.0,,
fau.de,13,6,515,1.0,1.0,,
lse.ac.uk,14,-1,515,1.0,1.0,,
mdpi.com,15,-1,515,1.0,1.0,,
daad.de,16,2,1,20.0,0.0,,
iaea.org,17,3,1,1.0,1.0,,
nrdc.org,18,4,1,1.0,1.0,,
unaids.org,19,6,1,1.0,1.0,,
wmo.int,20,6,1,1.0,1.0,,
