id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
globalshopaholics.com,1,6,12914,2.1639,0.36,,
myus.com,2,6,4652,3.1236,0.4435,,
fedex.com,3,6,4121,2.3749,0.6248,,FedEx
dhl.com,4,1,3516,2.3888,0.2929,,DHL
singpost.com,5,0,3090,6.6667,0.1667,,
usps.com,6,0,2883,1.0,1.0,,USPS
cainiao.com,7,5,2066,1.5019,0.4995,,Cainiao
ctt.pt,8,3,2066,1.0,1.0,,CTT
shipito.com,9,1,2062,4.2468,0.5005,,
aramexglobalshopper.com,10,13,2060,2.5,0.25,,
17track.net,11,5,1546,2.3325,0.0006,https://static.semrush.com/power-pages/media/favicons/17track-net-favicon-1b4f9a6e.png,17TRACK
portoluanda.co.ao,12,1,1545,1.0,1.0,,
correiosdeangola.ao,13,7,1032,1.0019,0.999,,
melhorenvio.com.br,14,0,1030,1.5,0.5,,
shopandship.com,15,7,516,3.9942,0.0019,,
clickbus.com.br,16,0,515,1.0,1.0,,ClickBus BR
express.dhl,17,0,515,4.0,0.0,,DHL Express
flixbus.pt,18,0,515,3.0,0.0,,
intercape.co.za,19,5,515,2.0,0.0,,
postcodequery.com,20,-6,515,1.0,1.0,,
