id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
farmacity.com,1,0,1970583,2.2265,0.6189,,
naturacosmeticos.com.ar,2,0,1038192,1.9951,0.7021,,
fragrantica.es,3,0,1027436,2.3725,0.4767,,
farmaonline.com,4,1,650558,1.9018,0.6694,,
juleriaque.com.ar,5,1,537947,1.7129,0.6242,,
gigot.com.ar,6,6,393650,2.0002,0.6515,,
perfumeriaspigmento.com.ar,7,-3,355525,1.4333,0.7427,,
bagues.net,8,10,312454,1.2766,0.8227,,
centraloeste.com.ar,9,-2,282183,2.8673,0.5472,,
arbell.com.ar,10,1,270719,1.4034,0.7372,,
perfumeriasrouge.com,11,8,240225,1.8033,0.6484,,
avon.com,12,-4,236111,11.6319,0.369,,
agendapro.com,13,-4,216178,1.7427,0.5903,,
telva.com,14,15,201228,1.0211,0.9817,,
glamour.mx,15,-1,194189,1.0626,0.9389,,
parfumerie.com.ar,16,0,183472,2.0109,0.6879,,
farmacialeloir.com.ar,17,3,163737,1.8824,0.691,,
lasmargaritas.com.ar,18,5,133451,1.5404,0.7623,,
amodil.com,19,0,118935,3.3967,0.7866,,
gpsfarma.com,20,-7,113430,9.06,0.3142,,
