id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
utn.edu.ar,1,0,4917837,4.1682,0.3895,,
wordreference.com,2,0,1577813,2.6607,0.5079,https://static.semrush.com/power-pages/media/favicons/wordreference-com-favicon-91adcbae.png,WordReference.com
stackoverflow.com,3,1,1331232,1.2748,0.847,https://static.semrush.com/power-pages/media/favicons/stackoverflow-com-favicon-d2a17223.ico,Stack Overflow
udemy.com,4,-1,1041270,2.9956,0.4776,https://static.semrush.com/power-pages/media/favicons/udemy-com-favicon-21d92c84.png,Udemy
duolingo.com,5,0,874602,1.8367,0.645,https://static.semrush.com/power-pages/media/favicons/duolingo-com-favicon-bcce2029.ico,Duolingo
coderhouse.com,6,1,849936,2.2044,0.5046,,
slideshare.net,7,-1,824840,1.3207,0.8264,https://static.semrush.com/power-pages/media/favicons/slideshare-net-favicon-af4544a8.ico,SlideShare
studocu.com,8,4,822742,2.1406,0.6786,,
cambridge.org,9,-1,799176,2.6466,0.686,https://static.semrush.com/power-pages/media/favicons/cambridge-org-favicon-3787ba24.ico,Cambridge
domestika.org,10,-1,686333,3.0459,0.5814,,
edutin.com,11,5,516849,2.619,0.5085,,
wiktionary.org,12,-2,510905,2.0831,0.7421,,Wiktionary
linguee.es,13,5,467268,2.6916,0.632,https://static.semrush.com/power-pages/media/favicons/www-linguee-es-favicon-b56b3c21.png,Linguee Spain
coursera.org,14,-3,413265,2.5857,0.5842,https://static.semrush.com/power-pages/media/favicons/coursera-org-favicon-7169eafb.png,Coursera
mozilla.org,15,7,349686,1.6868,0.7274,https://static.semrush.com/power-pages/media/favicons/mozilla-org-favicon-2af054fe.png,Mozilla
geogebra.org,16,0,348523,1.5391,0.6369,,
wordwall.net,17,3,346290,2.8297,0.5463,,Wordwall
stackexchange.com,18,12,309958,1.27,0.8311,https://static.semrush.com/power-pages/media/favicons/stackexchange-com-favicon-52965f0b.ico,Stack Exchange
openenglish.com,19,0,285553,2.3468,0.7595,,
centrodeelearning.com,20,1,282761,4.9001,0.3157,,
