id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
mercadolibre.com.ar,1,0,95910350,5.2541,0.4238,https://static.semrush.com/power-pages/media/favicons/mercadolibre-com-ar-favicon-f32ae42b.png,Mercado Libre Argentina
fravega.com,2,0,8283631,1.9448,0.724,https://static.semrush.com/power-pages/media/favicons/www-fravega-com-favicon-da4bb9ad.png,Frávega
inmanga.com,3,2,6515262,3.7279,0.4677,,
samsung.com,4,-1,6243199,1.8031,0.6997,https://static.semrush.com/power-pages/media/favicons/samsung-com-favicon-fe8c4b2a.png,Samsung
aliexpress.com,5,-1,6046194,2.7616,0.664,,AliExpress
carrefour.com.ar,6,2,5038449,1.9338,0.6824,,
mitiendanube.com,7,-1,4794395,3.6736,0.475,,
xbox.com,8,2,4219886,2.919,0.4644,https://static.semrush.com/power-pages/media/favicons/xbox-com-favicon-94426c54.jpg,Xbox
cotodigital3.com.ar,9,-2,3849778,6.8737,0.3601,,
empretienda.com.ar,10,2,3496340,2.6727,0.5014,,
adidas.com.ar,11,4,3248549,2.1703,0.6135,,
supermercadosdia.com.ar,12,-1,2970439,2.0813,0.6447,,
coto.com.ar,13,0,2708202,1.8065,0.5342,,
mercadoshops.com.ar,14,0,2507462,2.1047,0.6179,,
compragamer.com,15,14,2441924,1.6124,0.7236,,
easy.com.ar,16,-7,2400066,2.0987,0.6235,,
farmacity.com,17,1,1970583,2.2265,0.6189,,
ebay.com,18,3,1947956,3.5197,0.5052,https://static.semrush.com/power-pages/media/favicons/ebay-com-favicon-67c7209c.png,eBay
solodeportes.com.ar,19,-3,1947366,3.698,0.4928,,
dexter.com.ar,20,4,1803561,2.8099,0.5604,,
