id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
google.com.ar,1,0,40626385,3.5344,0.3745,,
live.com,2,0,31351138,3.1662,0.3193,,
uba.ar,3,3,8197388,3.7574,0.4028,,
microsoftonline.com,4,-1,8127743,1.7343,0.59,,
office.com,5,-1,6288771,2.7725,0.5632,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico,SmartSystem
utn.edu.ar,6,3,4917837,4.1682,0.3895,,
zoom.us,7,-2,4500465,2.0376,0.5238,https://static.semrush.com/power-pages/media/favicons/zoom-us-favicon-6216d0f4.ico,Zoom
cba.gov.ar,8,-1,4192370,5.2753,0.3005,,
unlp.edu.ar,9,5,3998403,3.3216,0.4592,,
unc.edu.ar,10,0,3729264,4.3752,0.3726,,
abc.gob.ar,11,2,3481646,5.8355,0.3334,,
bue.edu.ar,12,4,2783447,7.595,0.3332,,
infd.edu.ar,13,9,2471195,3.4102,0.4434,,
unt.edu.ar,14,0,2216129,4.5438,0.3543,,
unlam.edu.ar,15,10,1995760,5.6839,0.288,,
outlook.com,16,-4,1927844,1.2515,0.8211,https://static.semrush.com/power-pages/media/favicons/outlook-com-favicon-ac16fa7f.ico,Outlook
santafe.gob.ar,17,-9,1914060,3.5952,0.361,,
getadblock.com,18,0,1726536,1.118,0.8858,,AdBlock
uns.edu.ar,19,0,1592326,3.2948,0.3873,,
unsam.edu.ar,20,0,1562652,2.8457,0.5759,,
