id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
adidas.com.ar,1,0,3248549,2.1703,0.6135,,
solodeportes.com.ar,2,0,1947366,3.698,0.4928,,
dexter.com.ar,3,0,1803561,2.8099,0.5604,,
digitalsport.com.ar,4,0,1796137,3.1374,0.6031,,
stockcenter.com.ar,5,0,935947,2.8048,0.5456,,
montagne.com.ar,6,0,771462,3.2884,0.5848,,
modatex.com.ar,7,11,749109,6.5169,0.2575,,
sportline.com.ar,8,6,724929,1.3226,0.8469,,
opensports.com.ar,9,0,609333,3.008,0.5166,,
arredo.com.ar,10,0,425551,2.2212,0.6399,,
wokerbysporting.com.ar,11,19,406792,1.4261,0.7824,,
vans.com.ar,12,-5,405555,4.8824,0.3139,,
zara.com,13,6,366685,1.9127,0.7223,https://static.semrush.com/power-pages/media/favicons/zara-com-favicon-c65ba3c7.png,Zara
grimoldi.com,14,3,354582,2.5802,0.5667,,
gq.com.mx,15,0,351237,1.0972,0.9296,,
yenny-elateneo.com,16,-8,350036,4.308,0.352,,
tripstore.com.ar,17,0,336313,2.595,0.7328,,
reebok.com.ar,18,6,320146,2.5629,0.453,,
prune.com.ar,19,-3,310021,4.1408,0.3839,,
renovatuvestidor.com,20,1,309164,3.8481,0.6233,,
