id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
live.com,1,0,31351138,3.1662,0.3193,,
office.com,2,0,6288771,2.7725,0.5632,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico,SmartSystem
gofile.io,3,4,3808377,2.761,0.489,,
wordpress.com,4,0,3645619,1.6574,0.7425,https://static.semrush.com/power-pages/media/favicons/wordpress-com-favicon-f9797465.png,WordPress
fu.do,5,1,3325813,2.7998,0.7357,,
embluemail.com,6,-1,2456313,1.1985,0.8441,,
hotmail.com,7,-4,2216167,1.0554,0.9452,,Hotmail
speedtest.net,8,3,1969791,1.3729,0.7721,https://static.semrush.com/power-pages/media/favicons/speedtest-net-favicon-b9ced8c4.png,Speedtest
outlook.com,9,4,1927844,1.2515,0.8211,https://static.semrush.com/power-pages/media/favicons/outlook-com-favicon-ac16fa7f.ico,Outlook
onelink.to,10,0,1879385,1.2929,0.8105,,
softonic.com,11,5,1872754,2.4096,0.5301,https://static.semrush.com/power-pages/media/favicons/softonic-com-favicon-259c9304.png,Softonic
wetransfer.com,12,0,1661935,1.9041,0.6699,https://static.semrush.com/power-pages/media/favicons/wetransfer-com-favicon-bc5b180f.png,WeTransfer
ssyoutube.com,13,7,1653027,1.5001,0.6987,,
dlvr.it,14,-6,1599904,1.0286,0.9714,,
atlassian.net,15,2,1525987,4.3429,0.3856,,
turecibo.com,16,-2,1525808,1.4763,0.7183,,
ondemand.com,17,-8,1402505,1.5175,0.7324,,
dropbox.com,18,0,1365202,2.1968,0.5848,https://static.semrush.com/power-pages/media/favicons/dropbox-com-favicon-5346f07d.png,Dropbox
auth0.com,19,8,1356829,2.4557,0.3818,,
trello.com,20,6,1354819,2.7064,0.482,https://static.semrush.com/power-pages/media/favicons/trello-com-favicon-18746ed5.png,Trello
