id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
spotify.com,1,0,13875198,2.5717,0.4706,https://static.semrush.com/power-pages/media/favicons/spotify-com-favicon-ff2831d2.png,Spotify
letras.com,2,0,4625597,1.3807,0.817,https://static.semrush.com/power-pages/media/favicons/www-letras-com-favicon-fc305205.png,Letras
lacuerda.net,3,0,3591311,2.8386,0.4313,,
cifraclub.com,4,0,3164174,1.6405,0.6898,,
soundcloud.com,5,0,1831715,1.7902,0.6436,https://static.semrush.com/power-pages/media/favicons/soundcloud-com-favicon-cb20269e.ico,SoundCloud
genius.com,6,0,1133673,1.6612,0.7488,https://static.semrush.com/power-pages/media/favicons/genius-com-favicon-b59f5c6e.ico,Genius
musiquiatra.com,7,0,908701,4.5154,0.1652,,
last.fm,8,1,852195,2.2739,0.6926,,
ultimate-guitar.com,9,1,785050,2.6174,0.558,https://static.semrush.com/power-pages/media/favicons/ultimate-guitar-com-favicon-cf8d32b3.png,Ultimate Guitar
bandcamp.com,10,-2,571308,2.842,0.4836,https://static.semrush.com/power-pages/media/favicons/bandcamp-com-favicon-d41b9011.png,Bandcamp
deezer.com,11,1,525028,1.7014,0.6669,https://static.semrush.com/power-pages/media/favicons/deezer-com-favicon-37ca2d4f.png,Deezer
allaccess.com.ar,12,6,520926,1.9743,0.6317,,
discogs.com,13,-2,473483,4.8179,0.5445,https://static.semrush.com/power-pages/media/favicons/discogs-com-favicon-bcb37f5d.png,Discogs
chordify.net,14,0,357442,1.8053,0.7113,,
musica.com,15,7,334720,1.3504,0.8981,,
teatrocolon.org.ar,16,13,325805,2.7675,0.3418,,
songsterr.com,17,10,308621,2.0009,0.7015,,
acordesweb.com,18,0,297776,1.42,0.7659,,
merchbar.com,19,2,285850,1.1646,0.8694,,
fmrockandpop.com,20,-5,281111,1.496,0.6539,,
