id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
linktr.ee,1,0,5165955,1.2538,0.8733,https://static.semrush.com/power-pages/media/favicons/linktr-ee-favicon-29afac0e.png,Linktree
shopback.com.au,2,2,1284941,2.9938,0.56,,
cashrewards.com.au,3,-1,1258045,3.1994,0.3045,,
yellowpages.com.au,4,2,1111106,1.6561,0.7796,,
mailchimp.com,5,2,1069007,3.8363,0.3935,https://static.semrush.com/power-pages/media/favicons/mailchimp-com-favicon-8969a0a6.ico,Mailchimp
imginn.com,6,-3,719901,4.6192,0.131,,
fb.com,7,1,695959,1.058,0.9461,https://static.semrush.com/power-pages/media/favicons/fb-com-favicon-d2850d31.ico,
storysaver.net,8,6,644548,1.2174,0.8734,,
powerdiary.com,9,0,588659,8.4442,0.2474,,
blogger.com,10,-5,557526,1.5833,0.761,,
bazaarvoice.com,11,-1,482449,1.2377,0.8529,,
semrush.com,12,0,474214,2.4338,0.5967,https://static.semrush.com/power-pages/media/favicons/semrush-favicon-3cd418d5bb49.ico,Semrush
g.page,13,0,458235,1.2418,0.7962,,
youappi.com,14,0,344267,1.2041,0.8229,,
later.com,15,8,324960,2.501,0.5455,https://static.semrush.com/power-pages/media/favicons/later-com-favicon-f98c7f0b.ico,
mailerlite.com,16,2,309242,6.3785,0.4255,,
kajabi.com,17,0,306880,10.4642,0.266,,
webinarjam.com,18,0,290880,1.9845,0.4415,,WebinarJam
wechat.com,19,0,284521,1.2509,0.8873,,
podium.com,20,0,281646,6.4938,0.3417,,
