id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
fragrantica.com,1,1,1671192,2.566,0.5628,,
priceline.com.au,2,-1,1476466,1.9028,0.671,,
lilabeauty.com.au,3,0,788097,4.0425,0.618,,
wcosmetics.com.au,4,6,671261,3.7552,0.5005,,
adorebeauty.com.au,5,0,630819,3.3222,0.5254,,
sephora.com.au,6,-2,569561,2.9574,0.5213,,
yesstyle.com,7,1,569091,4.8384,0.5729,,YesStyle
stylevana.com,8,1,346939,5.3794,0.3945,,
hairhouse.com.au,9,2,294603,1.508,0.692,,
ozhairandbeauty.com,10,4,279581,2.0465,0.6878,,
biome.com.au,11,6,216559,4.0596,0.6069,,
thebodyshop.com,12,6,210250,1.3136,0.8085,,
perfumeclearancecentre.com.au,13,0,197574,3.0149,0.6092,,
fragrancenet.com,14,-8,193947,4.4958,0.43,,
laserclinics.com.au,15,1,193025,3.9903,0.4236,,
lancome.com.au,16,0,186115,2.6313,0.2932,,
itvsn.com.au,17,9,178359,2.9903,0.5557,,
feelingsexy.com.au,18,3,175640,1.7365,0.6905,,
beserk.com.au,19,-12,170719,5.2608,0.3575,,
loccitane.com,20,-5,170615,2.7053,0.367,,
