id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
google.com.au,1,0,58659041,3.6791,0.3396,,Google Australia
microsoftonline.com,2,1,58600962,1.8533,0.5478,,
live.com,3,-1,47086277,2.9976,0.36,,
office.com,4,1,41644786,2.0761,0.575,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico,SmartSystem
nsw.gov.au,5,-1,30126013,2.8468,0.531,https://static.semrush.com/power-pages/media/favicons/nsw-gov-au-favicon-dd181960.png,NSW Government
outlook.com,6,0,16161093,1.3667,0.7751,https://static.semrush.com/power-pages/media/favicons/outlook-com-favicon-ac16fa7f.ico,Outlook
zoom.us,7,0,8710554,2.1449,0.4874,https://static.semrush.com/power-pages/media/favicons/zoom-us-favicon-6216d0f4.ico,Zoom
unsw.edu.au,8,3,6205514,4.6813,0.4462,,
office365.com,9,-1,6040664,2.0867,0.5565,https://static.semrush.com/power-pages/media/favicons/office365-com-favicon-12e3dac8.ico,Microsoft 365
instructure.com,10,16,5373308,7.2632,0.229,,Instructure
monash.edu,11,1,4985390,4.5575,0.402,,
sydney.edu.au,12,-2,4899546,5.7345,0.3573,,
unimelb.edu.au,13,-4,4726372,4.4966,0.3534,,
sentral.com.au,14,16,4309891,2.7035,0.3683,,
uq.edu.au,15,-2,3954816,3.5737,0.3364,,
anu.edu.au,16,0,3686822,4.3112,0.316,,
boxnovel.com,17,0,3528348,13.9228,0.1593,,BoxNovel
t1cloud.com,18,-2,3050193,3.7917,0.4057,,
getadblock.com,19,10,2929085,1.1183,0.8849,,AdBlock
force.com,20,-6,2769946,3.5304,0.3763,https://static.semrush.com/power-pages/media/favicons/force-com-favicon-ccda8df0.ico,
