id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
bing.com,1,0,49593016,3.4174,0.4841,,Bing
netflix.com,2,0,32647145,2.2672,0.5053,https://static.semrush.com/power-pages/media/favicons/netflix-com-favicon-41b45fdc.ico,Netflix
spotify.com,3,2,12081394,2.2556,0.5526,https://static.semrush.com/power-pages/media/favicons/spotify-com-favicon-ff2831d2.png,Spotify
gamespot.com,4,0,11175653,4.2145,0.4943,https://static.semrush.com/power-pages/media/favicons/gamespot-com-favicon-793fe1ee.png,GameSpot
thelott.com,5,-2,9143379,3.0514,0.3802,,
disneyplus.com,6,0,8798768,2.6701,0.4407,https://static.semrush.com/power-pages/media/favicons/disneyplus-com-favicon-470cfd62.png,Disney Plus
primevideo.com,7,0,8605612,2.1826,0.5396,https://static.semrush.com/power-pages/media/favicons/primevideo-com-favicon-7e8458b9.png,Prime Video
msn.com,8,0,8073216,2.4364,0.5511,https://static.semrush.com/power-pages/media/favicons/msn-com-favicon-84cc977d.ico,MSN
ticketek.com.au,9,8,7921186,3.9401,0.3624,,
sbs.com.au,10,-1,6668303,1.5174,0.701,,
dailymotion.com,11,0,6168187,1.3076,0.8013,,Dailymotion
stan.com.au,12,0,5804713,2.16,0.514,,
gamerant.com,13,1,5133377,1.2661,0.8381,,
deviantart.com,14,-4,4998627,6.0718,0.3721,https://static.semrush.com/power-pages/media/favicons/deviantart-com-favicon-a4e32b90.png,DeviantArt
genius.com,15,11,4486274,1.598,0.7602,https://static.semrush.com/power-pages/media/favicons/genius-com-favicon-b59f5c6e.ico,Genius
rottentomatoes.com,16,-3,4283775,1.9853,0.5831,https://static.semrush.com/power-pages/media/favicons/rottentomatoes-com-favicon-c1d0090d.jpg,Rotten Tomatoes
crunchyroll.com,17,1,4209437,2.5268,0.5445,,Crunchyroll
ticketmaster.com.au,18,1,4131964,2.4606,0.4818,,
mydramalist.com,19,4,3896196,4.5755,0.3747,https://static.semrush.com/power-pages/media/favicons/mydramalist-com-favicon-25e516fc.png,My Drama List
screenrant.com,20,-5,3762568,1.2138,0.8708,https://static.semrush.com/power-pages/media/favicons/screenrant-com-favicon-875b3c3c.png,Screen Rant
