id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
nih.gov,1,2,8594070,1.4982,0.8128,https://static.semrush.com/power-pages/media/favicons/nih-gov-favicon-6c30e540.ico,National Institutes of Health
healthline.com,2,0,6930100,1.229,0.8294,,Healthline Media
hotdoc.com.au,3,-2,6735422,1.3763,0.7552,,
erx.com.au,4,0,5724215,1.9887,0.6406,,
cliniko.com,5,1,5600105,6.1757,0.4144,,
mayoclinic.org,6,-1,2879617,1.1027,0.9283,,Mayo Clinic
medicalnewstoday.com,7,0,2417300,1.1499,0.8877,https://static.semrush.com/power-pages/media/favicons/medicalnewstoday-com-favicon-28e75580.png,Medical News Today
health.qld.gov.au,8,2,2311185,2.6326,0.5426,,
healthdirect.gov.au,9,-1,2235342,1.2266,0.8712,,HealthDirect
webmd.com,10,-1,2040199,1.1495,0.8992,,WebMD
health.gov.au,11,0,1800685,2.6214,0.6237,,"The Department of Health, Australia"
clevelandclinic.org,12,3,1673354,1.1808,0.8937,https://static.semrush.com/power-pages/media/favicons/clevelandclinic-org-favicon-91184c4d.png,Cleveland Clinic
healthengine.com.au,13,-1,1647757,2.1904,0.5503,,
specsavers.com.au,14,5,1607051,2.9982,0.5474,,
bupa.com.au,15,2,1470087,3.2414,0.5385,,
automedsystems.com.au,16,-3,1419561,1.5521,0.6428,,
shiftmatch.com.au,17,-3,1269985,2.7285,0.527,,
ndis.gov.au,18,6,1219960,5.9623,0.3903,,
harvard.edu,19,2,1041010,1.4655,0.7973,https://static.semrush.com/power-pages/media/favicons/harvard-edu-favicon-8e03c54f.jpg,Harvard University
halaxy.com,20,-2,1019880,7.587,0.3245,,
