id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
youtube.com,1,0,1451627067,6.1088,0.3368,https://static.semrush.com/power-pages/media/favicons/youtube-com-favicon-88b01f68.png,YouTube
wikipedia.org,2,1,132288734,1.9466,0.6251,https://static.semrush.com/power-pages/media/favicons/wikipedia-org-favicon-904ce6bd.ico,Wikipedia
news.com.au,3,-1,127413307,3.4287,0.3146,,News.com.au
instagram.com,4,0,90998232,2.202,0.667,https://static.semrush.com/power-pages/media/favicons/instagram-com-favicon-b407fa10.png,Instagram
twitter.com,5,0,84194277,2.0905,0.6786,https://static.semrush.com/power-pages/media/favicons/twitter-com-favicon-8ea219d0.png,Twitter
abc.net.au,6,0,77805866,2.2569,0.4755,,
theguardian.com,7,0,38311099,2.8048,0.4328,https://static.semrush.com/power-pages/media/favicons/theguardian-com-favicon-fee5e2d6.png,The Guardian US
dailymail.co.uk,8,0,31565411,2.8717,0.4106,https://static.semrush.com/power-pages/media/favicons/dailymail-co-uk-favicon-2e69051a.png,Daily Mail
smh.com.au,9,1,30632056,1.5929,0.719,https://static.semrush.com/power-pages/media/favicons/www-smh-com-au-favicon-598916f0.ico,The Sydney Morning Herald
bbc.com,10,-1,26090568,2.5891,0.4424,https://static.semrush.com/power-pages/media/favicons/bbc-com-favicon-65d5fda0.jpg,BBC
9news.com.au,11,2,24935541,1.7729,0.6174,https://static.semrush.com/power-pages/media/favicons/9news-com-au-favicon-f048120d.ico,9News
imdb.com,12,-1,23943450,2.9816,0.4516,https://static.semrush.com/power-pages/media/favicons/imdb-com-favicon-0f70e9b9.png,IMDB
nytimes.com,13,-1,21673036,1.5329,0.7325,https://static.semrush.com/power-pages/media/favicons/nytimes-com-favicon-319373aa.png,The New York Times
cnn.com,14,0,8478339,1.7896,0.5776,https://static.semrush.com/power-pages/media/favicons/cnn-com-favicon-43177be7.ico,CNN
bbc.co.uk,15,0,7162037,1.9628,0.5687,https://static.semrush.com/power-pages/media/favicons/bbc-co-uk-favicon-4f3b9e56.ico,BBC Three
7news.com.au,16,0,5173966,1.5068,0.734,,
thenewdaily.com.au,17,2,4391396,1.7612,0.6302,,
heraldsun.com.au,18,3,4360095,2.2246,0.6576,,
rt.com,19,9,4192807,2.8122,0.2915,https://static.semrush.com/power-pages/media/favicons/rt-com-favicon-a71a5c1a.png,RT
aljazeera.com,20,-3,4025262,1.2092,0.8377,,
