id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
booking.com,1,0,11069093,4.7627,0.3877,https://static.semrush.com/power-pages/media/favicons/booking-com-favicon-faedfe66.ico,Booking.com
qantas.com,2,0,10191392,3.8565,0.4106,,
tripadvisor.com.au,3,1,6342993,1.8969,0.6904,,Tripadvisor Australia
jetstar.com,4,-1,6032726,4.4776,0.3745,,
airbnb.com.au,5,1,5426059,3.4552,0.5012,,
willyweather.com.au,6,-1,5138901,1.9382,0.5741,,
skyscanner.com.au,7,0,4298155,3.7363,0.3932,,
agoda.com,8,0,3107430,3.7624,0.3689,https://static.semrush.com/power-pages/media/favicons/agoda-com-favicon-d79c3f25.ico,Agoda
tripadvisor.com,9,0,2096774,1.4366,0.8381,https://static.semrush.com/power-pages/media/favicons/tripadvisor-com-favicon-34583147.png,Tripadvisor
americanexpress.com,10,0,2016216,3.4133,0.4397,https://static.semrush.com/power-pages/media/favicons/americanexpress-com-favicon-974ccc6c.ico,American Express
flightradar24.com,11,8,1729509,2.2045,0.57,,
escape.com.au,12,0,1693785,1.0706,0.944,,
webjet.com.au,13,9,1562920,3.3472,0.366,,
flightcentre.com.au,14,1,1469625,2.7737,0.4451,,
expedia.com.au,15,-2,1446371,3.4747,0.3911,,
trip.com,16,2,1419574,2.0716,0.5039,https://static.semrush.com/power-pages/media/favicons/trip-com-favicon-8230f336.ico,
surfline.com,17,-1,1373144,1.2556,0.8547,,
flightaware.com,18,3,1241670,1.9729,0.6508,,
klook.com,19,6,1217362,2.5869,0.5485,,
accor.com,20,3,1148658,3.5129,0.4095,,
