id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
notino.at,1,0,371665,4.1809,0.5022,,
douglas.at,2,0,248498,1.4548,0.7152,,
flaconi.at,3,1,244557,1.9548,0.6575,,
treatwell.at,4,-1,226274,3.2932,0.3148,,
parfumo.de,5,3,200942,11.1495,0.468,,
parfumdreams.at,6,-1,104521,2.2805,0.6546,,
ringana.com,7,0,77231,3.886,0.2709,,
yesstyle.com,8,10,68781,4.5501,0.4924,,YesStyle
fragrantica.com,9,16,67466,2.8665,0.1995,,
rituals.com,10,3,62396,2.6569,0.5962,,
youngliving.com,11,-1,60437,4.7142,0.1907,,Young Living
stylebook.de,12,-3,57373,1.1419,0.8581,,
easycosmetic.at,13,-7,49772,2.5254,0.5675,,
fragrantica.de,14,9,45051,3.5349,0.7466,,
doterra.com,15,-3,39412,5.7906,0.3894,,DoTERRA
stylevana.com,16,11,35152,10.519,0.2994,,
larocheposay.de,17,0,31794,1.6921,0.3079,,
flaconi.de,18,-7,31690,1.4752,0.8047,,
basler-beauty.at,19,0,31561,2.0977,0.614,,
marionnaud.at,20,-4,29827,1.2212,0.8896,,
