id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
cint.com,1,0,315822,2.4471,0.25,https://static.semrush.com/power-pages/media/favicons/cint-com-favicon-4d4d06c0.png,Cint
qualtrics.com,2,1,99222,1.3677,0.8184,https://static.semrush.com/power-pages/media/favicons/qualtrics-com-favicon-0a491c21.png,Qualtrics
surveymonkey.com,3,-1,92635,3.3565,0.7606,https://static.semrush.com/power-pages/media/favicons/surveymonkey-com-favicon-fff1c96e.png,Survey Monkey
bestattung-muellner.at,4,2,78965,3.5281,0.6721,,
neuro-flash.com,5,11,54834,1.2609,0.8011,,
market.at,6,0,44159,1.7158,0.2842,,
bestattung-pichler.at,7,-3,43632,2.1111,0.5,,
bestattung-baumann.at,8,-1,43632,1.3889,0.6667,,
talkonlinepanel.com,9,2,42156,1.6143,0.7068,,
vockenhuber-bestattung.at,10,-2,41208,1.5882,0.7647,,
gfk.com,11,3,40955,1.2443,0.8486,,
nfbestattung.at,12,-3,40241,3.4661,0.0408,,
mobrog.com,13,-3,38263,2.4805,0.2295,,
ssisurveys.com,14,-1,36586,1.7339,0.5048,,
bestattung-leitner.at,15,-10,31512,1.1538,0.8462,,
survio.com,16,5,24304,1.0,1.0,,
lifepointspanel.com,17,3,23222,5.0001,0.4102,,
norstatpanel.com,18,5,22779,2.4071,0.626,,
bestattung-baumgartner.at,19,0,19580,4.0,0.5,,
shopmetrics.com,20,-2,17837,1.8641,0.2718,,
