id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
oeamtc.at,1,0,1234266,2.2971,0.574,,
autoscout24.at,2,0,1020630,3.1747,0.4601,,
gebrauchtwagen.at,3,0,712815,1.4707,0.7821,,
motor-talk.de,4,1,552656,1.5501,0.7552,,Motor-Talk
mobile.de,5,-1,409234,3.295,0.477,,mobile.de
adac.de,6,0,364320,1.2639,0.8427,,ADAC e. V
volkswagen.at,7,11,329916,2.1155,0.3568,,
auto-doc.at,8,1,319793,3.2918,0.4649,,
louis.at,9,5,299856,4.6654,0.4132,,
autobild.de,10,5,297566,1.2923,0.8157,,AutoBild
tesla.com,11,-1,241094,3.1723,0.3728,,Tesla
1000ps.at,12,5,236190,3.2334,0.4196,,
auto-motor-und-sport.de,13,0,228622,1.1785,0.8823,,Auto Motor und Sport
tff-forum.de,14,-7,204367,1.198,0.8391,,
formula1.com,15,0,201319,2.3822,0.4891,https://static.semrush.com/power-pages/media/favicons/www-formula1-com-favicon-8af4e915.png,Formula 1
motorsport-total.com,16,0,195601,4.3315,0.4378,,Motorsport-Total
ev-database.org,17,6,182506,1.7179,0.7612,,
onlinecars.at,18,0,170559,2.4601,0.606,,
bmw.at,19,10,160998,3.6034,0.3592,,
autoscout24.de,20,2,156304,3.582,0.3514,,AutoScout24
