id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
google.be,1,0,36718597,3.606,0.3304,,Google Belgium
live.com,2,1,20197808,3.002,0.3563,,
microsoftonline.com,3,-1,19308668,1.8391,0.5446,,
smartschool.be,4,0,11674672,6.2288,0.2644,,Smartschool
office.com,5,1,11228968,1.9521,0.6365,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico,SmartSystem
kuleuven.be,6,-1,10603136,6.7622,0.2277,,
outlook.com,7,1,4604155,1.4097,0.7599,https://static.semrush.com/power-pages/media/favicons/outlook-com-favicon-ac16fa7f.ico,Outlook
ugent.be,8,-1,3123944,5.476,0.2668,,
leforem.be,9,0,2143133,2.5145,0.3853,,
timeedit.net,10,7,2142235,4.3569,0.3255,,
office365.com,11,-1,2079671,1.6867,0.6425,https://static.semrush.com/power-pages/media/favicons/office365-com-favicon-12e3dac8.ico,Microsoft 365
uclouvain.be,12,1,2025198,3.695,0.3486,,
bookwidgets.com,13,-2,1971614,2.4508,0.6905,,
uantwerpen.be,14,-2,1931839,2.3582,0.563,,
instructure.com,15,-1,1354624,7.139,0.2456,,Instructure
pelckmansportaal.be,16,0,1279967,2.9987,0.2381,,
vub.be,17,1,1232730,4.757,0.3271,,
ulb.be,18,5,1224568,2.0183,0.5582,,
cfwb.be,19,0,1174688,4.3899,0.414,,
uliege.be,20,5,1040687,5.5261,0.2912,,
