id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
loterie-nationale.be,1,0,3587530,3.8284,0.3611,,
nationale-loterij.be,2,0,2588749,3.9244,0.3507,,
napoleoncasino.be,3,5,919517,2.0979,0.5912,,
napoleongames.be,4,3,870708,2.2467,0.5221,,
napoleonsports.be,5,5,860818,2.1176,0.5811,,
starcasino.be,6,0,779972,3.0354,0.4369,,
circus.be,7,-4,686432,4.3279,0.3292,,
bwin.be,8,-3,664587,6.2174,0.3921,,
ladbrokes.be,9,-5,484014,2.3981,0.5567,,Ladbrokes
footballpredictions.net,10,2,269388,1.8891,0.3896,,
betcenter.be,11,13,253954,1.7413,0.6402,,
betfirstcasino.be,12,3,198446,5.4747,0.2648,,
casinoladbrokes.be,13,1,178734,2.9026,0.4128,,
bingoal.be,14,-5,163769,4.8358,0.2799,,
forebet.com,15,2,133872,1.7162,0.7685,,
sportytrader.com,16,4,128566,1.4864,0.7129,,
geny.com,17,-4,114804,6.3592,0.2074,,
sbtech.com,18,-7,112906,2.3607,0.5014,,
scooore.be,19,3,95679,1.5715,0.7552,,
e-lotto.be,20,5,71700,2.2967,0.7505,,
