id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
bolero.be,1,0,439746,2.8518,0.4051,,
medirect.be,2,0,130431,3.7341,0.4481,,
forexfactory.com,3,2,122262,2.9258,0.6722,,
morningstar.be,4,4,108071,5.7481,0.4719,,
borsagundem.com,5,-2,93860,1.1,0.9,,
zerodha.com,6,1,68726,3.1976,0.4047,https://static.semrush.com/power-pages/media/favicons/zerodha-com-favicon-ee40bcfc.png,Zerodha
goldforex.be,7,-1,62185,2.3431,0.4393,,
curvo.eu,8,-4,59887,1.554,0.7523,,
argentorshop.be,9,2,46457,6.0289,0.4229,,
morningstar.nl,10,2,39870,1.7645,0.6282,,
whalewisdom.com,11,4,37544,1.5,0.5,,
blackrock.com,12,4,33684,1.5251,0.6425,https://static.semrush.com/power-pages/media/favicons/blackrock-com-favicon-56bcf7f3.png,BlackRock
goldsilver.be,13,5,29021,4.8006,0.4851,,
justetf.com,14,-5,27596,4.7551,0.5051,,
icmarkets.com,15,0,27379,4.2185,0.4961,,
investir.ch,16,0,24305,1.1714,0.8857,,
rationalreminder.ca,17,-7,23465,1.2,0.8,,
myfxbook.com,18,-5,22842,1.4979,0.7365,,
fundsquare.net,19,0,19967,1.0779,0.9221,,
sicavonline.fr,20,0,19275,1.9641,0.6845,,
