id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
qualtrics.com,1,0,422618,1.2746,0.8663,https://static.semrush.com/power-pages/media/favicons/qualtrics-com-favicon-0a491c21.png,Qualtrics
surveymonkey.com,2,0,237738,1.7661,0.6377,https://static.semrush.com/power-pages/media/favicons/surveymonkey-com-favicon-fff1c96e.png,Survey Monkey
ssisurveys.com,3,1,196479,3.0492,0.4536,,
cint.com,4,1,123362,3.2807,0.2514,https://static.semrush.com/power-pages/media/favicons/cint-com-favicon-4d4d06c0.png,Cint
mobrog.com,5,1,87926,4.6089,0.3266,,
gfk.com,6,-3,72847,3.2457,0.6459,,
opinionworld.be,7,9,68698,2.2462,0.6304,,
splendid-research.com,8,0,66312,1.9682,0.5378,,
chkmkt.com,9,-2,58064,1.7414,0.3746,,
researchnow.com,10,3,57331,1.254,0.8905,,
decipherinc.com,11,0,42294,10.436,0.5749,,
globenewswire.com,12,-2,41152,1.1181,0.8819,,
alchemer.com,13,-4,24515,1.3708,0.7037,https://static.semrush.com/power-pages/media/favicons/alchemer-com-favicon-5317c31e.png,Alchemer
lifepointspanel.com,14,-2,20797,6.1666,0.016,,
voxco.com,15,-1,19134,1.8046,0.6388,,
tolunastart.com,16,11,18633,1.7701,0.2299,,
ipsos.com,17,0,18513,1.5363,0.6888,,
theoremreach.com,18,0,15328,1.315,0.8445,,
shopmetrics.com,19,0,15024,2.3333,0.6667,,
dynata.com,20,-3,13432,9.2023,0.7389,,Dynata
