id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
sporza.be,1,0,12883723,3.0817,0.3523,https://static.semrush.com/power-pages/media/favicons/sporza-be-favicon-482992b7.png,Sporza
walfoot.be,2,1,2794883,2.7747,0.4611,,
footmercato.net,3,2,2666974,4.6901,0.366,https://static.semrush.com/power-pages/media/favicons/footmercato-net-favicon-3f6d28a8.png,Foot Mercato
voetbalnieuws.be,4,0,2638311,2.3771,0.4072,,
decathlon.be,5,-3,2612738,4.212,0.4033,,
livescore.com,6,8,1908241,1.5606,0.7244,https://static.semrush.com/power-pages/media/favicons/livescore-com-favicon-6c363de8.png,LiveScore
voetbalkrant.com,7,12,1727215,3.3436,0.3847,,
basic-fit.com,8,1,1579421,1.9325,0.6158,,Basic Fit
voetbalprimeur.be,9,3,1415260,4.1108,0.2734,,
footnews.be,10,-4,1295026,2.8862,0.3613,,
lequipe.fr,11,-3,1235698,1.4661,0.7448,https://static.semrush.com/power-pages/media/favicons/lequipe-fr-favicon-87916997.png,L'Equipe
eurosport.fr,12,-5,1126864,2.8675,0.4168,https://static.semrush.com/power-pages/media/favicons/www-eurosport-fr-favicon-4d2c31b2.ico,Eurosport France
procyclingstats.com,13,0,1072769,8.8091,0.2898,,
sofoot.com,14,1,989985,2.7144,0.4538,,
strava.com,15,1,956472,4.494,0.3972,https://static.semrush.com/power-pages/media/favicons/www-strava-com-favicon-24fc60f4.png,Strava
chess.com,16,-6,802042,5.298,0.2338,https://static.semrush.com/power-pages/media/favicons/chess-com-favicon-0a31d2ed.png,Chess.com
flashscore.fr,17,0,777074,8.7133,0.2178,,
voetbal24.be,18,0,767725,2.714,0.4823,,
motorsport.com,19,8,764263,2.2625,0.4433,https://static.semrush.com/power-pages/media/favicons/www-motorsport-com-favicon-14ace5dd.png,Motorsport.com
statsf1.com,20,0,700738,2.4416,0.4543,,
