id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
mercadolivre.com.br,1,0,320958159,4.252,0.5062,https://static.semrush.com/power-pages/media/favicons/mercadolivre-com-br-favicon-f32ae42b.png,Mercado Livre Brazil
amazon.com.br,2,0,289236568,3.3033,0.5182,https://static.semrush.com/power-pages/media/favicons/amazon-com-br-favicon-ca6619b8.ico,Amazon Brazil
olx.com.br,3,0,154774385,4.0412,0.434,https://static.semrush.com/power-pages/media/favicons/olx-com-br-favicon-9b11b9e8.png,OLX Brazil
shopee.com.br,4,1,106171538,2.7763,0.595,https://static.semrush.com/power-pages/media/favicons/shopee-com-br-favicon-c5618c85.ico,Shopee Brasil
aliexpress.com,5,1,104607408,3.6371,0.5541,,AliExpress
magazineluiza.com.br,6,-2,103745508,1.9446,0.685,https://static.semrush.com/power-pages/media/favicons/magazineluiza-com-br-favicon-efcfcfe4.png,Magazine Luiza
reclameaqui.com.br,7,0,61535696,2.2533,0.586,https://static.semrush.com/power-pages/media/favicons/reclameaqui-com-br-favicon-a969fb63.ico,Reclame Aqui
kabum.com.br,8,1,44230054,2.7686,0.5625,,
samsung.com,9,-1,43178067,2.346,0.6386,https://static.semrush.com/power-pages/media/favicons/samsung-com-favicon-fe8c4b2a.png,Samsung
casasbahia.com.br,10,1,38007783,2.2951,0.6027,,Casas Bahia
americanas.com.br,11,-1,36778114,2.2403,0.5969,,Americanas
adorocinema.com,12,0,35143747,1.795,0.6818,https://static.semrush.com/power-pages/media/favicons/www-adorocinema-com-favicon-d8f23cc2.png,AdoroCinema
tudogostoso.com.br,13,0,33791242,1.4144,0.8099,,Tudo Gostoso
netshoes.com.br,14,0,28196878,3.3832,0.5585,,Netshoes
shp.ee,15,1,24572539,1.627,0.7063,,
centauro.com.br,16,1,21776608,1.5754,0.7958,,
xbox.com,17,4,20647421,2.1555,0.5588,https://static.semrush.com/power-pages/media/favicons/xbox-com-favicon-94426c54.jpg,Xbox
buscape.com.br,18,-3,19364594,2.0701,0.6233,https://static.semrush.com/power-pages/media/favicons/www-buscape-com-br-favicon-5b1c2379.png,
pichau.com.br,19,6,18727068,1.7534,0.6856,,
boticario.com.br,20,4,18257352,2.1725,0.6217,,O Boticário
