id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
doctoralia.com.br,1,0,31958570,1.5394,0.7339,https://static.semrush.com/power-pages/media/favicons/www-doctoralia-com-br-favicon-17285d0e.ico,Doctoralia
tuasaude.com,2,0,19397664,1.1846,0.856,https://static.semrush.com/power-pages/media/favicons/tuasaude-com-favicon-ba5118b9.ico,Tua Saúde
saude.gov.br,3,0,9795595,2.841,0.6947,https://static.semrush.com/power-pages/media/favicons/saude-gov-br-favicon-3df81a41.png,Brazilian Ministry of Health
msdmanuals.com,4,1,8396240,1.3083,0.8013,https://static.semrush.com/power-pages/media/favicons/msdmanuals-com-favicon-8a33a4cf.ico,MSD manuals
dasa.com.br,5,-1,8033130,1.6143,0.7209,,
nih.gov,6,1,6993625,1.8302,0.7777,https://static.semrush.com/power-pages/media/favicons/nih-gov-favicon-6c30e540.ico,National Institutes of Health
rededorsaoluiz.com.br,7,1,6594201,1.9014,0.7261,,
unimed.coop.br,8,1,4930155,1.7202,0.7122,,
hapvida.com.br,9,3,4250873,4.3261,0.4137,,
einstein.br,10,-4,4180340,1.5565,0.7503,,
babycenter.com,11,3,3597590,1.2549,0.8117,https://static.semrush.com/power-pages/media/favicons/www-babycenter-com-favicon-ec1d7388.png,BabyCenter
iclinic.com.br,12,-1,3532962,2.858,0.7476,,
atarde.com.br,13,3,3471079,1.733,0.6033,,
cuf.pt,14,0,3427691,4.5963,0.3819,,
amorsaude.com.br,15,2,3261148,1.734,0.6148,,
exct.net,16,-6,3249026,1.1269,0.913,,
minhavida.com.br,17,-4,2946293,1.247,0.8407,,
gndi.com.br,18,-3,2576625,2.0452,0.6232,,
mdsaude.com,19,6,2533503,1.1541,0.8883,,
sanarmed.com,20,3,2266517,1.1419,0.8926,,
