id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
menudino.com,1,0,10006430,1.9803,0.6022,,
burgerking.com.br,2,0,5472089,2.0552,0.527,,
neemo.com.br,3,2,2572084,2.0565,0.6531,,
mcdonalds.com.br,4,-1,2294128,1.2642,0.8718,,
cocobambu.com,5,-1,2139805,2.1091,0.5587,,
tagme.com.br,6,1,1630657,1.8543,0.6734,,
outback.com.br,7,1,1382996,1.9234,0.6091,,
getinapp.com.br,8,-2,1091465,1.304,0.773,,
pedir.delivery,9,0,1080909,1.9619,0.7168,,
dominos.com.br,10,-1,952440,3.054,0.3202,,
bobs.com.br,11,0,780895,4.5641,0.319,,
ecta.com.br,12,1,728989,1.2296,0.8413,,
takeat.app,13,-1,728216,1.7891,0.6272,,
ccmpedidoonline.com.br,14,9,583400,6.2797,0.4865,,
xmenu.com.br,15,-5,464761,1.1129,0.9056,,
ubereats.com,16,-1,439904,1.3314,0.8499,,Uber Eats
spoleto.com.br,17,7,431680,1.6673,0.6814,,
meucardapio.ai,18,0,420404,1.7522,0.7395,,
cafetrampolim.com.br,19,0,409745,1.0961,0.9067,,
subway.com,20,5,408450,1.4606,0.8394,,
