id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
usp.br,1,0,19202388,2.6469,0.6468,,
surfguru.com.br,2,3,5064624,1.7102,0.67,,
sciencedirect.com,3,-1,3487503,1.7111,0.698,,ScienceDirect
phys.org,4,-1,2807570,2.208,0.4549,,
fapesp.br,5,-1,1853212,2.4926,0.7328,,
space.com,6,4,1844993,2.3573,0.3898,,
wiley.com,7,1,1247604,1.6727,0.6398,,John Wiley & Sons
overleaf.com,8,-1,1122407,2.6753,0.4482,,Overleaf
elsevier.com,9,-3,1070969,4.1486,0.5249,https://static.semrush.com/power-pages/media/favicons/elsevier-com-favicon-c0e62f50.png,Elsevier
doi.org,10,1,896695,1.2622,0.8236,,
arxiv.org,11,-2,831652,1.4474,0.7702,,
exame.com.br,12,0,672692,1.0,1.0,,
orcid.org,13,5,644707,1.4258,0.7195,,
tum.de,14,-2,595705,4.6299,0.3135,,
mdpi.com,15,-2,576457,1.5061,0.8351,,
impa.br,16,4,476910,1.9844,0.8072,,
scopus.com,17,-3,426111,1.6628,0.7523,,
gbif.org,18,0,398585,1.1049,0.9804,,
typeset.io,19,2,376822,1.4844,0.7745,,
scimagojr.com,20,0,305610,3.5961,0.5061,,
