id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
webmotors.com.br,1,0,36406989,2.9405,0.4718,,Webmotors
carrosnaweb.com.br,2,0,19069733,7.1546,0.4056,,
icarros.com.br,3,0,10730399,1.9299,0.6831,,iCarros
honda.com.br,4,0,5799380,2.1055,0.5061,,
noticiasautomotivas.com.br,5,2,5625466,1.659,0.6982,,
mobiauto.com.br,6,0,5249639,1.8038,0.7275,,Mobiauto
pneustore.com.br,7,-2,4502331,3.2797,0.5384,,
garagem360.com.br,8,1,3169806,1.1221,0.8881,,
exclusivecarregistry.com,9,0,3122172,14.9229,0.2982,,
citroen.com.br,10,9,3017314,2.2592,0.5257,,
car.blog.br,11,6,3004078,1.5095,0.648,,
fiat.com.br,12,0,2818260,1.6667,0.6718,,
yamaha-motor.com.br,13,-3,2765302,1.3894,0.7312,,
renault.com.br,14,2,2662863,1.862,0.7281,,
jeep.com.br,15,0,2587119,2.0921,0.6611,,
vw.com.br,16,-1,2550867,1.8021,0.6455,,
chevrolet.com.br,17,-4,2393810,1.9865,0.6418,,
unidas.com.br,18,-7,2302618,1.9564,0.6349,,
trovit.com.br,19,-5,2195065,1.6709,0.7196,,
seminovos.com.br,20,-2,2036050,3.3296,0.4043,,
