id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
openai.com,1,0,145871613,1.7542,0.652,,
doctoralia.com.br,2,0,31958570,1.5394,0.7339,https://static.semrush.com/power-pages/media/favicons/www-doctoralia-com-br-favicon-17285d0e.ico,Doctoralia
gsuplementos.com.br,3,2,21587844,4.643,0.4397,,
tuasaude.com,4,-1,19397664,1.1846,0.856,https://static.semrush.com/power-pages/media/favicons/tuasaude-com-favicon-ba5118b9.ico,Tua Saúde
drogaraia.com.br,5,-1,17494736,1.5104,0.7684,https://static.semrush.com/power-pages/media/favicons/www-drogaraia-com-br-favicon-5a58bc21.jpg,Droga Raia
drogasil.com.br,6,2,11568761,1.7855,0.75,,
saude.gov.br,7,2,9795595,2.841,0.6947,https://static.semrush.com/power-pages/media/favicons/saude-gov-br-favicon-3df81a41.png,Brazilian Ministry of Health
drogariasaopaulo.com.br,8,-2,9282863,2.2398,0.6387,,
msdmanuals.com,9,2,8396240,1.3083,0.8013,https://static.semrush.com/power-pages/media/favicons/msdmanuals-com-favicon-8a33a4cf.ico,MSD manuals
paguemenos.com.br,10,5,8213259,1.9147,0.6533,,
dasa.com.br,11,-1,8033130,1.6143,0.7209,,
gympass.com,12,-5,7235642,4.2331,0.391,,
nih.gov,13,1,6993625,1.8302,0.7777,https://static.semrush.com/power-pages/media/favicons/nih-gov-favicon-6c30e540.ico,National Institutes of Health
rededorsaoluiz.com.br,14,3,6594201,1.9014,0.7261,,
tribunademinas.com.br,15,1,5976605,1.7463,0.4768,,
max.com,16,0,5941833,2.6695,0.5128,,
smartfit.com.br,17,-5,5091746,2.0648,0.6338,,
ultrafarma.com.br,18,2,4975043,2.9856,0.4293,,
unimed.coop.br,19,-1,4930155,1.7202,0.7122,,
hapvida.com.br,20,6,4250873,4.3261,0.4137,,
