id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
google.ca,1,0,171254450,3.7327,0.3412,,Google Canada
microsoftonline.com,2,0,103665661,1.8531,0.5376,,
live.com,3,0,90642622,3.0466,0.3345,,
office.com,4,0,85482267,2.0952,0.5835,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico,SmartSystem
outlook.com,5,2,32551704,1.5542,0.7416,https://static.semrush.com/power-pages/media/favicons/outlook-com-favicon-ac16fa7f.ico,Outlook
gouv.qc.ca,6,-1,29414090,3.9622,0.4861,https://static.semrush.com/power-pages/media/favicons/gouv-qc-ca-favicon-e75b6b66.png,
zoom.us,7,-1,27079487,2.283,0.4693,https://static.semrush.com/power-pages/media/favicons/zoom-us-favicon-6216d0f4.ico,Zoom
mozaikportail.ca,8,1,20728034,1.6155,0.5375,,
utoronto.ca,9,-1,16739785,5.4699,0.3181,,
office365.com,10,0,13291620,2.0845,0.5644,https://static.semrush.com/power-pages/media/favicons/office365-com-favicon-12e3dac8.ico,Microsoft 365
123moviesfree.net,11,0,10148213,3.0599,0.4374,,
cic.gc.ca,12,0,8370991,4.1542,0.4571,,
boxnovel.com,13,1,8308533,7.7466,0.3241,,BoxNovel
elearningontario.ca,14,-1,8002338,3.5366,0.3978,,
quizlet.com,15,7,7790998,3.1457,0.5895,,Quizlet
desire2learn.com,16,5,7764940,5.8621,0.3082,,
gov.on.ca,17,-2,7717953,3.1927,0.5533,,
brightspace.com,18,-2,6746310,5.3602,0.3514,,
chegg.com,19,0,5933979,1.8239,0.6683,,Chegg
uwaterloo.ca,20,0,5776657,4.4674,0.3695,,
