id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
nih.gov,1,0,17408271,1.525,0.8041,https://static.semrush.com/power-pages/media/favicons/nih-gov-favicon-6c30e540.ico,National Institutes of Health
healthline.com,2,0,13188910,1.2513,0.8332,,Healthline Media
janeapp.com,3,0,11845065,3.7752,0.3885,,
alberta.ca,4,1,11193532,2.7466,0.5076,https://static.semrush.com/power-pages/media/favicons/alberta-ca-favicon-5d005051.png,Alberta Investment Management
mayoclinic.org,5,-1,8627801,1.2517,0.8462,,Mayo Clinic
medicalnewstoday.com,6,1,5841788,1.2336,0.8334,https://static.semrush.com/power-pages/media/favicons/medicalnewstoday-com-favicon-28e75580.png,Medical News Today
webmd.com,7,-1,5449167,1.219,0.8561,,WebMD
clevelandclinic.org,8,0,4498749,1.1692,0.8843,https://static.semrush.com/power-pages/media/favicons/clevelandclinic-org-favicon-91184c4d.png,Cleveland Clinic
albertahealthservices.ca,9,1,3711066,4.4574,0.3796,,
lifelabs.com,10,-1,3035621,4.8717,0.2606,,LifeLabs
harvard.edu,11,0,2386433,1.5962,0.8145,https://static.semrush.com/power-pages/media/favicons/harvard-edu-favicon-8e03c54f.jpg,Harvard University
cdc.gov,12,2,2337234,1.717,0.7288,https://static.semrush.com/power-pages/media/favicons/cdc-gov-favicon-8f23f529.ico,
verywellhealth.com,13,-1,2293525,1.1762,0.8715,https://static.semrush.com/power-pages/media/favicons/www-verywellhealth-com-favicon-24415865.png,Verywell Health
clicsante.ca,14,-1,2163069,2.3609,0.5903,,
bonjour-sante.ca,15,11,2003930,1.8491,0.5896,,
vch.ca,16,2,1723530,2.3226,0.5625,,
medeohealth.com,17,10,1688527,2.8931,0.3688,,
babycenter.com,18,-1,1475833,1.4179,0.631,https://static.semrush.com/power-pages/media/favicons/www-babycenter-com-favicon-ec1d7388.png,BabyCenter
drugs.com,19,-4,1452768,1.446,0.7887,https://static.semrush.com/power-pages/media/favicons/drugs-com-favicon-27cb02f1.png,Drugs.com
hopkinsmedicine.org,20,4,1448912,1.0981,0.9225,https://static.semrush.com/power-pages/media/favicons/www-hopkinsmedicine-org-favicon-28df90e4.ico,Johns Hopkins Medicine
