id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
realtor.ca,1,0,27037691,4.3655,0.5655,https://static.semrush.com/power-pages/media/favicons/realtor-ca-favicon-ed5f1e49.png,Realtor.ca
centris.ca,2,0,18238191,6.0224,0.3647,,
craigslist.org,3,1,11708935,5.7052,0.2635,https://static.semrush.com/power-pages/media/favicons/craigslist-org-favicon-c30bf3a9.ico,Craigslist
airbnb.ca,4,-1,10024463,3.7964,0.4913,,
housesigma.com,5,8,4609691,2.6913,0.6202,,
duproprio.com,6,0,4238124,3.2124,0.5246,,
point2homes.com,7,3,3809469,3.1623,0.4758,https://static.semrush.com/power-pages/media/favicons/point2homes-com-favicon-f8bf6db8.png,Point2homes
zolo.ca,8,1,3376056,3.0879,0.6124,,
rew.ca,9,-1,3248995,4.2732,0.4393,,
zillow.com,10,-5,3167622,4.2298,0.5717,,Zillow
castanet.net,11,-4,2941797,2.8746,0.54,,
remax.ca,12,9,2561274,2.5564,0.6556,,
skyscraperpage.com,13,5,2346993,7.7258,0.2158,,
lespac.com,14,-2,2168111,2.2579,0.5016,,
rentals.ca,15,1,2096418,2.8535,0.4478,,
timhortons.ca,16,-5,2022863,1.387,0.7664,,
pillarnine.com,17,7,1850392,5.0368,0.3319,,
vrbo.com,18,1,1842050,3.8991,0.4841,https://static.semrush.com/power-pages/media/favicons/vrbo-com-favicon-7947742b.png,VRBO
51.ca,19,-4,1838526,5.0963,0.2763,,
remax-quebec.com,20,0,1777085,1.2875,0.8098,,
