id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
ubereats.com,1,0,6047476,2.1794,0.6355,,Uber Eats
doordash.com,2,0,4638228,3.5443,0.4949,,DoorDash
skipthedishes.com,3,0,4155861,1.9632,0.6408,https://static.semrush.com/power-pages/media/favicons/skipthedishes-com-favicon-39b5c62d.ico,SkipTheDishes
dominos.ca,4,0,3984530,3.5766,0.2791,,
pizzahut.ca,5,0,2843042,1.3829,0.7721,,
mcdonalds.com,6,0,1691724,1.935,0.631,https://static.semrush.com/power-pages/media/favicons/mcdonalds-com-favicon-56ed9994.jpg,McDonald's
opentable.com,7,1,1586476,3.0088,0.6321,,
order-online.ai,8,-1,1270269,1.2367,0.8425,,
kfc.ca,9,2,1246235,2.8338,0.5643,,
subway.com,10,3,1232272,3.2429,0.5534,,
restomontreal.ca,11,-1,975174,1.8458,0.7075,,
budgetbytes.com,12,-3,892182,2.1611,0.8203,,
pizzapizza.ca,13,-1,863960,1.7748,0.6246,,
cashstar.com,14,0,717380,1.667,0.5892,,
st-hubert.com,15,3,707125,1.8433,0.5719,,
tbdine.com,16,0,686003,1.4415,0.6888,,
sugarspunrun.com,17,-2,679142,1.1868,0.893,,
aw.ca,18,-1,647720,1.2361,0.8436,,
restaurantnormandin.com,19,0,643973,1.3871,0.7197,,
timhortons.com,20,3,602363,1.6622,0.6628,,
