id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
openai.com,1,0,72955856,1.8176,0.6256,,
nih.gov,2,0,17408271,1.525,0.8041,https://static.semrush.com/power-pages/media/favicons/nih-gov-favicon-6c30e540.ico,National Institutes of Health
healthline.com,3,0,13188910,1.2513,0.8332,,Healthline Media
janeapp.com,4,0,11845065,3.7752,0.3885,,
mayoclinic.org,5,0,8627801,1.2517,0.8462,,Mayo Clinic
medicalnewstoday.com,6,1,5841788,1.2336,0.8334,https://static.semrush.com/power-pages/media/favicons/medicalnewstoday-com-favicon-28e75580.png,Medical News Today
webmd.com,7,-1,5449167,1.219,0.8561,,WebMD
clevelandclinic.org,8,0,4498749,1.1692,0.8843,https://static.semrush.com/power-pages/media/favicons/clevelandclinic-org-favicon-91184c4d.png,Cleveland Clinic
calculator.net,9,0,4323749,2.9564,0.378,,
lifelabs.com,10,1,3035621,4.8717,0.2606,,LifeLabs
jeancoutu.com,11,1,2769127,3.1135,0.5372,,
harvard.edu,12,1,2386433,1.5962,0.8145,https://static.semrush.com/power-pages/media/favicons/harvard-edu-favicon-8e03c54f.jpg,Harvard University
cdc.gov,13,4,2337234,1.717,0.7288,https://static.semrush.com/power-pages/media/favicons/cdc-gov-favicon-8f23f529.ico,
verywellhealth.com,14,0,2293525,1.1762,0.8715,https://static.semrush.com/power-pages/media/favicons/www-verywellhealth-com-favicon-24415865.png,Verywell Health
eatingwell.com,15,-5,2148632,1.4569,0.8088,,Eatingwell
book4time.com,16,0,2036672,3.386,0.0234,,
bonjour-sante.ca,17,12,2003930,1.8491,0.5896,,
psychologytoday.com,18,-2,1761885,1.7849,0.7716,,Psychology Today
gorendezvous.com,19,0,1759317,1.5852,0.626,,
menshealth.com,20,-5,1693946,1.1533,0.9191,https://static.semrush.com/power-pages/media/favicons/menshealth-com-favicon-9165b408.ico,Men's Health
