id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
credit-agricole.fr,1,0,37858984,5.4124,0.2745,,
boursorama.com,2,0,30307426,4.4015,0.487,https://static.semrush.com/power-pages/media/favicons/boursorama-com-favicon-be92b647.png,Boursorama
labanquepostale.fr,3,0,20117068,7.7624,0.2862,https://static.semrush.com/power-pages/media/favicons/labanquepostale-fr-favicon-f6a8514c.ico,La Banque Postale
creditmutuel.fr,4,0,12374939,6.3169,0.2815,https://static.semrush.com/power-pages/media/favicons/creditmutuel-fr-favicon-e6dcce88.png,Credit Mutuel
caisse-epargne.fr,5,0,10149235,3.7475,0.2859,,Caisse d’Epargne
lcl.fr,6,0,8094896,3.7354,0.3081,,LCL
banquepopulaire.fr,7,1,6260530,4.6385,0.2354,,
digiposte.fr,8,1,6146207,1.4456,0.7418,,
cic.fr,9,-2,5920191,6.5134,0.2542,,
natixis.com,10,2,4096090,1.8644,0.5099,,
cmb.fr,11,-1,3887947,5.9234,0.1697,,
moneyvox.fr,12,-1,3404925,1.2971,0.8526,,
cofidis.fr,13,0,3309539,4.5809,0.4111,,
nickel.eu,14,2,3017826,1.9205,0.616,,
fortuneo.fr,15,-1,2985775,3.3389,0.3735,,
boursier.com,16,8,2764589,2.9215,0.5882,,
meilleurtaux.com,17,-2,2713653,1.72,0.6665,,
cetelem.fr,18,0,2457694,2.9833,0.5024,,
boursedirect.fr,19,0,2007123,4.4266,0.2895,,
mabanque.bnpparibas,20,2,1992459,3.8393,0.3258,,
