id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
nouvelobs.com,1,0,9400075,2.4622,0.543,,
larousse.fr,2,1,8953991,1.6186,0.7629,https://static.semrush.com/power-pages/media/favicons/www-larousse-fr-favicon-beb369ae.ico,Larousse
wordreference.com,3,-1,8466967,3.519,0.4156,https://static.semrush.com/power-pages/media/favicons/wordreference-com-favicon-91adcbae.png,WordReference.com
wiktionary.org,4,0,6906629,1.6258,0.7369,,Wiktionary
stackoverflow.com,5,1,6307276,1.3071,0.8321,https://static.semrush.com/power-pages/media/favicons/stackoverflow-com-favicon-d2a17223.ico,Stack Overflow
linguee.fr,6,-1,5211178,1.6994,0.7424,https://static.semrush.com/power-pages/media/favicons/linguee-fr-favicon-b56b3c21.png,Linguee France
duolingo.com,7,0,2785287,1.6267,0.674,https://static.semrush.com/power-pages/media/favicons/duolingo-com-favicon-bcce2029.ico,Duolingo
superprof.fr,8,0,2239266,1.908,0.7005,,
wooclap.com,9,2,1967054,1.6404,0.6423,,
mozilla.org,10,5,1894211,1.5491,0.7177,https://static.semrush.com/power-pages/media/favicons/mozilla-org-favicon-2af054fe.png,Mozilla
quizlet.com,11,2,1793444,4.4295,0.4835,,Quizlet
openclassrooms.com,12,0,1762716,3.3779,0.4835,,
beneylu.com,13,-4,1610396,1.9385,0.5917,,
udemy.com,14,-4,1591407,3.6393,0.49,https://static.semrush.com/power-pages/media/favicons/udemy-com-favicon-21d92c84.png,Udemy
stackexchange.com,15,4,1423621,1.2117,0.8792,https://static.semrush.com/power-pages/media/favicons/stackexchange-com-favicon-52965f0b.ico,Stack Exchange
cned.fr,16,-2,1378193,7.0857,0.336,,
cambridge.org,17,0,1252454,2.2892,0.6448,https://static.semrush.com/power-pages/media/favicons/cambridge-org-favicon-3787ba24.ico,Cambridge
learningapps.org,18,0,1232014,3.1332,0.5677,,
lexilogos.com,19,3,1115651,1.3639,0.8313,,
bab.la,20,3,981906,1.5901,0.6883,https://static.semrush.com/power-pages/media/favicons/bab-la-favicon-c154e951.png,Bab.la
