id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
yahoo.com,1,0,162108949,3.3892,0.4231,,Yahoo
credit-agricole.fr,2,0,37858984,5.4124,0.2745,,
boursorama.com,3,0,30307426,4.4015,0.487,https://static.semrush.com/power-pages/media/favicons/boursorama-com-favicon-be92b647.png,Boursorama
paypal.com,4,0,25028667,3.5091,0.2769,https://static.semrush.com/power-pages/media/favicons/paypal-com-favicon-ed31bc43.png,PayPal
labanquepostale.fr,5,0,20117068,7.7624,0.2862,https://static.semrush.com/power-pages/media/favicons/labanquepostale-fr-favicon-f6a8514c.ico,La Banque Postale
creditmutuel.fr,6,0,12374939,6.3169,0.2815,https://static.semrush.com/power-pages/media/favicons/creditmutuel-fr-favicon-e6dcce88.png,Credit Mutuel
lcl.fr,7,0,8094896,3.7354,0.3081,,LCL
stripe.com,8,0,7016127,1.6592,0.697,,
cic.fr,9,0,5920191,6.5134,0.2542,,
etoro.com,10,0,5261518,1.854,0.7473,https://static.semrush.com/power-pages/media/favicons/etoro-com-favicon-8d34d8eb.png,eToro
axa.fr,11,2,4678410,3.3023,0.3537,,
adyen.com,12,-1,4673144,2.044,0.3961,https://static.semrush.com/power-pages/media/favicons/adyen-com-favicon-a500963f.png,Adyen
zonebourse.com,13,-1,4419298,3.9739,0.39,,
natixis.com,14,1,4096090,1.8644,0.5099,,
tradingview.com,15,11,3513064,1.8954,0.5689,https://static.semrush.com/power-pages/media/favicons/tradingview-com-favicon-5ce990e1.png,TradingView
moneyvox.fr,16,-2,3404925,1.2971,0.8526,,
coinmarketcap.com,17,2,3384601,2.5042,0.559,https://static.semrush.com/power-pages/media/favicons/coinmarketcap-com-favicon-e687767a.png,CoinMarketCap
cofidis.fr,18,-2,3309539,4.5809,0.4111,,
nickel.eu,19,2,3017826,1.9205,0.616,,
fortuneo.fr,20,-3,2985775,3.3389,0.3735,,
