id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
doctolib.fr,1,0,49539505,2.542,0.5755,https://static.semrush.com/power-pages/media/favicons/doctolib-fr-favicon-31c15027.png,Doctolib France
ameli.fr,2,0,46997984,3.7282,0.4618,https://static.semrush.com/power-pages/media/favicons/ameli-fr-favicon-64939eca.ico,L’Assurance Maladie
msdmanuals.com,3,0,4623581,1.4393,0.731,https://static.semrush.com/power-pages/media/favicons/msdmanuals-com-favicon-8a33a4cf.ico,MSD manuals
sante.fr,4,0,4148392,1.7434,0.6924,,
aphp.fr,5,0,3354072,3.0204,0.4399,,
nih.gov,6,1,3244056,2.6304,0.6704,https://static.semrush.com/power-pages/media/favicons/nih-gov-favicon-6c30e540.ico,National Institutes of Health
maiia.com,7,-1,2953297,1.6757,0.643,,
elsan.care,8,1,2766779,1.5025,0.8199,,
cerballiance.fr,9,1,2635832,2.8262,0.413,,
medisite.fr,10,-2,2280175,1.9822,0.6684,,Medisite
lemedecin.fr,11,1,1819720,1.9082,0.6174,,
mesanalyses.fr,12,4,1662540,2.5201,0.4628,,
naitreetgrandir.com,13,4,1660421,1.3183,0.8286,,
sante.pro,14,1,1558696,2.3359,0.4187,,
livi.fr,15,-2,1552217,1.4382,0.8283,,
sante.gouv.fr,16,-5,1265114,2.4323,0.7159,,
famileo.com,17,-3,1262772,2.2293,0.4066,,
inovie.fr,18,6,1123038,3.9319,0.2291,,
has-sante.fr,19,2,1120294,1.809,0.725,,
allodocteurs.fr,20,-1,1104287,1.1468,0.88,,
