id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
qualtrics.com,1,0,2044071,1.5358,0.8025,https://static.semrush.com/power-pages/media/favicons/qualtrics-com-favicon-0a491c21.png,Qualtrics
surveymonkey.com,2,0,1466547,1.8597,0.6786,https://static.semrush.com/power-pages/media/favicons/surveymonkey-com-favicon-fff1c96e.png,Survey Monkey
cint.com,3,0,764634,2.5029,0.326,https://static.semrush.com/power-pages/media/favicons/cint-com-favicon-4d4d06c0.png,Cint
ssisurveys.com,4,0,501751,2.4451,0.5433,,
lifepointspanel.com,5,0,422224,4.005,0.2967,,
theoremreach.com,6,2,340153,2.2792,0.4385,,
voxco.com,7,4,287658,1.1082,0.9115,,
tolunastart.com,8,7,242253,4.405,0.2699,,
ipsos.com,9,9,218763,4.4858,0.5479,,
researchnow.com,10,-1,216879,1.1855,0.831,,
confirmit.com,11,8,201351,3.243,0.4407,,
monopinioncompte.fr,12,-2,159765,2.4454,0.5427,,
decipherinc.com,13,-1,152167,8.679,0.3103,,
alchemer.com,14,-7,147546,1.3284,0.7765,https://static.semrush.com/power-pages/media/favicons/alchemer-com-favicon-5317c31e.png,Alchemer
devenirclientmystere.com,15,8,141342,2.9893,0.4221,,
qualimetrie.com,16,-3,140086,2.2184,0.7764,,
norstatpanel.com,17,-3,135817,3.0767,0.2587,,
survio.com,18,0,124684,1.0891,0.9437,,
dynata.com,19,1,108737,2.1484,0.7102,,Dynata
recollective.com,20,8,104085,6.7169,0.1046,,
