id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
booking.com,1,0,31343635,4.5157,0.4151,https://static.semrush.com/power-pages/media/favicons/booking-com-favicon-faedfe66.ico,Booking.com
holidaycheck.de,2,0,5154948,3.7395,0.4866,,
expedia.de,3,0,2128567,2.8667,0.4708,,
kayak.de,4,3,1732729,3.1513,0.4297,,
agoda.com,5,-1,1546372,2.984,0.4546,https://static.semrush.com/power-pages/media/favicons/agoda-com-favicon-d79c3f25.ico,Agoda
trivago.de,6,-1,1393468,1.6857,0.6314,,
opentable.de,7,5,1296447,1.5026,0.7547,,
secretescapes.de,8,-2,1134158,3.0493,0.4653,,
momondo.de,9,0,1012172,3.9293,0.3059,,
onepagebooking.com,10,-2,901590,1.2269,0.8295,,
accor.com,11,4,826033,2.895,0.4662,,
kurz-mal-weg.de,12,-2,799353,2.6364,0.6115,,
novasol.de,13,-2,775084,3.0984,0.5256,,
stage-entertainment.de,14,2,768192,1.9299,0.5471,,
hotels.com,15,2,733732,2.2859,0.5037,,
kurzurlaub.de,16,-3,713161,3.4796,0.4711,,
jugendherberge.de,17,-3,683423,3.3489,0.5049,,
abnb.me,18,0,645161,1.6661,0.6667,,
hotel-bb.com,19,5,632285,2.422,0.4805,,
hrs.de,20,5,622733,3.2441,0.4924,,
