id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
douglas.de,1,0,4421313,1.7507,0.7074,,
parfumo.de,2,1,3437553,9.9285,0.3521,,
flaconi.de,3,-1,2704092,1.8404,0.6631,,
notino.de,4,1,1430402,4.817,0.5401,,
stylebook.de,5,-1,1106771,1.059,0.9602,,
rituals.com,6,1,822139,2.7291,0.4907,,
parfumdreams.de,7,2,815015,3.1178,0.5364,,
easycosmetic.de,8,3,638319,3.2695,0.4905,,
sephora.de,9,-3,593420,4.2221,0.4481,,
asambeauty.com,10,2,584652,1.407,0.773,,
ringana.com,11,4,566234,3.2641,0.413,,
doterra.com,12,2,552851,5.1097,0.4237,,DoTERRA
treatwell.de,13,-5,514056,2.7946,0.5049,,
yesstyle.com,14,-4,485853,7.3436,0.4824,,YesStyle
hagel-shop.de,15,6,435391,4.3741,0.5486,,
fragrantica.com,16,3,393339,3.0974,0.5088,,
stylevana.com,17,12,384185,5.6773,0.4747,,
nivea.de,18,-1,335316,1.9694,0.7969,,
fragrantica.ru,19,0,321278,3.7464,0.2313,,
studiobookr.com,20,-2,320144,1.3954,0.7337,,
