id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
duckduckgo.com,1,0,138378033,2.3221,0.5079,https://static.semrush.com/power-pages/media/favicons/duckduckgo-com-favicon-6a39c9fc.png,DuckDuckGo
chefkoch.de,2,0,35668222,1.9019,0.6624,https://static.semrush.com/power-pages/media/favicons/chefkoch-de-favicon-55ce95ce.png,Chefkoch
rewe.de,3,0,16011599,2.834,0.5778,,
lieferando.de,4,0,14450702,2.0714,0.6107,,Lieferando
einfachbacken.de,5,1,7989471,1.2165,0.8571,,Einfach Backen
takeaway.com,6,-1,6935415,1.1207,0.9318,https://static.semrush.com/power-pages/media/favicons/takeaway-com-favicon-035295b7.ico,Takeaway.com
kochbar.de,7,0,4844559,1.1984,0.8664,,Kochbar
gaumenfreundin.de,8,3,4672438,1.7319,0.6667,,
edeka.de,9,-1,4560612,1.4835,0.7467,,EDEKA
lecker.de,10,-1,4144833,1.6001,0.7717,,Lecker
gutekueche.at,11,-1,4120324,1.3145,0.8402,,GuteKueche
eatsmarter.de,12,0,3506821,1.5461,0.7672,,EatSmarter
zentrum-der-gesundheit.de,13,0,3111015,1.1725,0.8779,,
foodsharing.de,14,2,3024596,4.387,0.3067,,
emmikochteinfach.de,15,-1,2995081,1.6353,0.8322,,
essen-und-trinken.de,16,-1,2634198,1.3623,0.8529,,Essen und Trinken
flaschenpost.de,17,8,2282959,3.0326,0.3289,,
eatbetter.de,18,6,2217834,1.2685,0.8668,,
daskochrezept.de,19,-2,2142488,1.1644,0.8746,,
backenmachtgluecklich.de,20,2,2124299,1.3895,0.7733,,
