id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
aok.de,1,0,10094668,2.4154,0.652,,
tk.de,2,0,7682565,3.1195,0.4443,,Techniker Krankenkasse
verivox.de,3,0,5950146,2.5382,0.4355,,
deutsche-rentenversicherung.de,4,0,3674957,2.5349,0.5795,,
allianz.de,5,1,3292081,3.2534,0.528,,
huk.de,6,-1,3063546,3.2831,0.4476,,
bussgeldkatalog.org,7,1,2725108,1.2679,0.8184,,
barmer.de,8,-1,2386229,2.96,0.6068,,
huk24.de,9,1,2267221,4.2098,0.3618,,
ergo.de,10,-1,1965743,2.2859,0.5738,,
bundesgesundheitsministerium.de,11,0,1283800,1.2941,0.8786,,
ergo.com,12,3,1071452,5.0589,0.4967,,
ruv.de,13,0,1003657,2.7708,0.566,,
dak.de,14,-2,992036,1.736,0.6162,,
devk.de,15,1,772538,3.9983,0.3958,,
eservice-drv.de,16,-2,741557,10.2281,0.3701,,
gothaer.de,17,0,738068,2.0215,0.5748,,
zurich.de,18,0,666019,2.057,0.5092,,
axa.de,19,5,621970,2.6465,0.4075,,
wgv.de,20,5,621008,3.4956,0.3431,,
