id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
indeed.com,1,0,18465338,3.8546,0.4503,https://static.semrush.com/power-pages/media/favicons/indeed-com-favicon-121a0618.ico,
jooble.org,2,0,2340482,2.2465,0.5577,https://static.semrush.com/power-pages/media/favicons/jooble-org-favicon-7abfd684.png,Jooble
hrworks.de,3,0,1544547,2.2824,0.3866,,
talent.com,4,1,1116519,1.8666,0.4794,,
16personalities.com,5,-1,1010506,2.2359,0.5466,,
umantis.com,6,1,655736,2.7939,0.4621,,
jobsora.com,7,-1,636207,1.6484,0.6645,,
smartrecruiters.com,8,2,512443,1.5461,0.6532,,
lebenslauf.de,9,6,487271,2.2579,0.4276,,
lebenslaufdesigns.de,10,8,418676,1.8729,0.5729,,
adp.com,11,0,370122,4.1133,0.316,https://static.semrush.com/power-pages/media/favicons/adp-com-favicon-81349678.ico,ADP
randstad.de,12,2,345884,2.1253,0.6609,,
appcast.io,13,-1,328363,1.1261,0.8756,,
anschreiben.com,14,6,315774,2.8782,0.4566,,
lebenslauf.com,15,2,304883,1.864,0.5617,,
jobrapido.com,16,-8,284860,2.3177,0.5124,,
jobware.de,17,-8,272788,1.4784,0.7439,,
absolventa.de,18,-5,265226,1.6318,0.811,,
dayforcehcm.com,19,-3,257232,1.8538,0.5261,,
adecco.de,20,0,230633,2.5943,0.6425,,
