id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
vodafone.de,1,0,22573629,2.7787,0.5288,https://static.semrush.com/power-pages/media/favicons/vodafone-de-favicon-aaaf1d84.png,Vodafone Germany
telekom.de,2,1,19917320,2.7665,0.5471,https://static.semrush.com/power-pages/media/favicons/telekom-de-favicon-586f5250.ico,Telekom Deutschland
samsung.com,3,-1,16772930,2.3966,0.6454,https://static.semrush.com/power-pages/media/favicons/samsung-com-favicon-fe8c4b2a.png,Samsung
telekom.com,4,0,14272947,1.9208,0.4119,,Deutsche Telekom
fritz.box,5,0,9859335,2.9847,0.3078,,
o2online.de,6,0,9551406,3.2286,0.5007,,o2 Hilfe
1und1.de,7,0,8263160,3.7161,0.4289,,1&1
inside-digital.de,8,0,7022024,1.2841,0.8421,,
avm.de,9,1,3735646,2.1047,0.6013,,
vodafonemail.de,10,-1,3444887,2.4514,0.2575,,
speedtest.net,11,0,2792841,1.3501,0.781,https://static.semrush.com/power-pages/media/favicons/speedtest-net-favicon-b9ced8c4.png,Speedtest
teltarif.de,12,2,2262341,1.919,0.6368,,
congstar.de,13,-1,2198907,3.0854,0.4192,,
android-hilfe.de,14,8,2137529,2.9537,0.6227,,
techbook.de,15,0,2094480,1.1933,0.8747,,
klarmobil.de,16,-3,2033404,2.918,0.4113,,
sim.de,17,1,1912071,3.8772,0.4675,,
huawei.com,18,-2,1874235,2.4746,0.5818,https://static.semrush.com/power-pages/media/favicons/huawei-com-favicon-1082d335.png,Huawei
alditalk-kundenbetreuung.de,19,-2,1827187,3.4766,0.4099,,
lg.com,20,3,1778916,2.1328,0.6248,https://static.semrush.com/power-pages/media/favicons/lg-com-favicon-07d6731d.png,LG
