id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
dhl.de,1,0,86483151,2.0399,0.5892,https://static.semrush.com/power-pages/media/favicons/dhl-de-favicon-efc54628.png,
bahn.de,2,0,42543494,2.8218,0.451,,Deutsche Bahn
myhermes.de,3,0,20122017,1.5712,0.735,,Hermes
dpd.de,4,0,16305140,2.3889,0.4033,https://static.semrush.com/power-pages/media/favicons/dpd-de-favicon-c869fafe.png,DPD Group Germany
deutschepost.de,5,0,9402047,3.025,0.5947,,Deutsche Post
gls-pakete.de,6,0,6695012,1.4549,0.7489,https://static.semrush.com/power-pages/media/favicons/gls-pakete-de-favicon-7c6f2738.png,GLS Paketversand
ups.com,7,1,5548826,2.6606,0.5581,,United Parcel Service
dhl.com,8,-1,5228357,2.2298,0.5797,,DHL
bvg.de,9,0,4764092,2.0242,0.555,,
flixbus.de,10,0,2957366,2.2404,0.4382,,
drehscheibe-online.de,11,4,2775276,7.8583,0.1327,,
hvv.de,12,-1,2644460,2.0521,0.5262,,
deutschebahn.com,13,-1,2612448,3.7538,0.4854,,
dpd.com,14,-1,2546293,1.3933,0.7806,,DPD group
rmv.de,15,1,2399358,2.7925,0.6162,,
17track.net,16,-2,2148840,2.6918,0.2471,https://static.semrush.com/power-pages/media/favicons/17track-net-favicon-1b4f9a6e.png,17TRACK
vrr.de,17,9,1826623,1.7055,0.5966,,
dvb.de,18,3,1704351,1.5548,0.6551,,
db.de,19,-2,1661215,2.6905,0.5701,,
thetrainline.com,20,0,1433153,2.0107,0.4609,,Trainline
