id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
live.com,1,0,1829235072,3.021,0.3721,,
office.com,2,0,1581233750,2.0492,0.5917,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico,SmartSystem
wordpress.com,3,0,522553362,2.4628,0.6585,https://static.semrush.com/power-pages/media/favicons/wordpress-com-favicon-f9797465.png,WordPress
outlook.com,4,3,385520888,1.5097,0.7502,https://static.semrush.com/power-pages/media/favicons/outlook-com-favicon-ac16fa7f.ico,Outlook
yandex.com,5,-1,383735690,2.5506,0.4863,,Yandex
gofile.io,6,-1,355336405,2.3528,0.5162,,
stackoverflow.com,7,-1,326189721,1.3252,0.8287,https://static.semrush.com/power-pages/media/favicons/stackoverflow-com-favicon-d2a17223.ico,Stack Overflow
dropbox.com,8,0,235525811,2.1704,0.5997,https://static.semrush.com/power-pages/media/favicons/dropbox-com-favicon-5346f07d.png,Dropbox
okta.com,9,2,217411161,2.4218,0.4662,,Okta
onelink.to,10,-1,210147595,1.2884,0.8256,,
speedtest.net,11,-1,209454017,1.3635,0.7744,https://static.semrush.com/power-pages/media/favicons/speedtest-net-favicon-b9ced8c4.png,Speedtest
wetransfer.com,12,0,195528105,1.9239,0.6255,https://static.semrush.com/power-pages/media/favicons/wetransfer-com-favicon-bc5b180f.png,WeTransfer
duosecurity.com,13,2,178126611,2.6177,0.264,,
fast.com,14,2,151019189,1.2526,0.831,https://static.semrush.com/power-pages/media/favicons/fast-com-favicon-bbdb943e.png,
atlassian.net,15,2,142874498,3.8018,0.4316,,
ssyoutube.com,16,5,137935747,1.5124,0.746,,
gmail.com,17,2,134696226,1.6158,0.8093,https://static.semrush.com/power-pages/media/favicons/gmail-com-favicon-f3418a44.ico,Gmail
auth0.com,18,-5,134093106,2.2426,0.3513,,
stripe.com,19,-1,128160022,1.6777,0.7101,,
icloud.com,20,0,127813019,1.4809,0.7368,https://static.semrush.com/power-pages/media/favicons/icloud-com-favicon-91892d3d.png,iCloud
