id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
sahibinden.com,1,0,146374430,7.6924,0.3553,,
olx.pl,2,0,124576116,2.6189,0.5716,https://static.semrush.com/power-pages/media/favicons/olx-pl-favicon-0a9637d9.png,OLX Poland
mobile.de,3,1,76619344,6.0718,0.4178,,mobile.de
carfax.com,4,1,76452611,2.3668,0.5587,,Carfax
drive2.ru,5,3,66825145,2.4731,0.6098,,Drive2
marktplaats.nl,6,-3,63935973,5.6119,0.3858,https://static.semrush.com/power-pages/media/favicons/marktplaats-nl-favicon-da693c37.png,Marktplaats
usnews.com,7,0,63489525,1.5989,0.7374,,
cargurus.com,8,2,63287728,2.9479,0.5091,https://static.semrush.com/power-pages/media/favicons/cargurus-com-favicon-a8a16235.png,CarGurus
otomoto.pl,9,-3,59077429,3.2145,0.4682,https://static.semrush.com/power-pages/media/favicons/otomoto-pl-favicon-1d94b88e.png,OTOMOTO
drom.ru,10,1,56164497,4.7213,0.4835,https://static.semrush.com/power-pages/media/favicons/drom-ru-favicon-2951c476.png,Drom.ru
ebay.com.au,11,-2,52060953,5.1206,0.4389,https://static.semrush.com/power-pages/media/favicons/ebay-com-au-favicon-67c7209c.png,eBay Australia
cars.com,12,0,51795745,3.6921,0.4562,https://static.semrush.com/power-pages/media/favicons/cars-com-favicon-d929cd21.ico,Cars.com
motorsport.com,13,0,48655835,2.0762,0.5655,https://static.semrush.com/power-pages/media/favicons/www-motorsport-com-favicon-14ace5dd.png,Motorsport.com
formula1.com,14,0,48522563,2.5188,0.5054,https://static.semrush.com/power-pages/media/favicons/www-formula1-com-favicon-8af4e915.png,Formula 1
olx.in,15,11,46967600,1.5896,0.7448,,
caranddriver.com,16,1,45731776,1.8909,0.6575,,Car and Driver
tesla.com,17,-4,43882515,2.9762,0.442,,Tesla
autotrader.co.uk,18,1,42613634,4.7301,0.3599,,Auto Trader
autozone.com,19,-4,42488232,1.4724,0.7359,,AutoZone
edmunds.com,20,-6,40352187,2.1544,0.5948,,Edmunds
