id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
aegeanair.com,1,0,3146169,2.9671,0.4613,,Aegean Airlines
skyscanner.com,2,0,2255375,2.8392,0.4516,https://static.semrush.com/power-pages/media/favicons/skyscanner-com-favicon-baab0b11.ico,Skyscanner
ryanair.com,3,1,1240676,3.446,0.4109,,
windy.com,4,-1,1152225,1.5638,0.783,,
skyexpress.gr,5,0,865682,1.963,0.4742,,
skyscanner.net,6,0,457899,1.9804,0.6347,,
flightradar24.com,7,1,358034,1.7905,0.6959,,
mytrip.com,8,6,289712,1.2101,0.8271,,
kayak.com,9,0,270654,1.9076,0.5173,https://static.semrush.com/power-pages/media/favicons/www-kayak-com-favicon-244acd6c.png,
aia.gr,10,1,258543,4.1079,0.4762,,
airtickets.gr,11,-1,244689,2.2003,0.3866,,
petas.gr,12,3,240551,2.2542,0.4611,,
flypgs.com,13,0,211506,1.2483,0.8095,,
esky.gr,14,-1,200236,1.8352,0.5975,,
wizzair.com,15,1,178062,2.5456,0.5245,https://static.semrush.com/power-pages/media/favicons/wizzair-com-favicon-a89eb24f.ico,Wizz Air
kiwi.com,16,1,167547,1.7584,0.6104,,
easyjet.com,17,1,164859,3.8104,0.3727,,
dji.com,18,7,161706,3.0252,0.512,,
uber.com,19,11,161372,1.5492,0.7792,,Uber
airliners.gr,20,-1,147910,1.7139,0.6031,,
