id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
winbank.gr,1,0,7400346,3.2148,0.2035,,Winbank
nbg.gr,2,0,6291710,2.8349,0.3223,,National Bank of Greece
eurobank.gr,3,0,5020477,1.6713,0.6325,,
alpha.gr,4,0,2705678,3.5277,0.2776,,
piraeusbank.gr,5,0,2436359,1.4886,0.7187,,
dias.com.gr,6,0,1798252,2.9389,0.3732,,
alphaecommerce.gr,7,0,849353,4.0922,0.1366,,
moneyonline.gr,8,2,530421,1.6319,0.6363,,
businessdaily.gr,9,0,432598,1.203,0.8802,,
arcot.com,10,-2,287615,2.1475,0.0204,,
optimabank.gr,11,3,230590,2.6944,0.6883,,
atticabank.gr,12,1,228462,1.4507,0.7888,,
wise.com,13,-1,228452,2.6731,0.6821,,
xe.com,14,-3,170971,1.2202,0.8579,https://static.semrush.com/power-pages/media/favicons/xe-com-favicon-592e3c52.ico,XE.com
coinmill.com,15,0,153187,1.3824,0.734,,
payu.com,16,0,138058,1.3604,0.7583,,
pancretaonline.gr,17,4,96607,1.3854,0.7867,,
bankofcyprus.com,18,12,92024,2.6546,0.5278,,
degiro.nl,19,-1,85886,1.9145,0.4334,https://static.semrush.com/power-pages/media/favicons/degiro-nl-favicon-55df3b92.png,
atcom.gr,20,3,71695,1.1808,0.9082,,
