id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
google.gr,1,0,46518396,3.479,0.3495,,Google Greece
live.com,2,0,9125323,3.2885,0.3376,,
sch.gr,3,0,8347774,4.1192,0.4758,,SCH Technologies
alfavita.gr,4,0,5014237,1.7227,0.6304,,
uoa.gr,5,3,3355816,5.0523,0.3917,,
auth.gr,6,1,3287456,5.1757,0.329,,
microsoftonline.com,7,-2,3158052,1.8325,0.514,,
office.com,8,-2,3089032,2.0704,0.6323,https://static.semrush.com/power-pages/media/favicons/office-com-favicon-8f211ea6.ico,SmartSystem
politeianet.gr,9,0,2544166,2.5698,0.627,,
esos.gr,10,2,1798985,1.5573,0.6728,,
ebooks.edu.gr,11,-1,1746926,2.2243,0.5257,,
larissanet.gr,12,10,1733759,2.0577,0.6441,,
taexeiola.gr,13,6,1607396,1.6094,0.6571,,
calameo.com,14,3,1602147,1.4812,0.7375,,Calameo
zoom.us,15,-2,1548690,2.039,0.5179,https://static.semrush.com/power-pages/media/favicons/zoom-us-favicon-6216d0f4.ico,Zoom
uniwa.gr,16,-1,1520536,4.7038,0.4402,,
workenter.gr,17,-6,1506925,1.4552,0.7503,,
upatras.gr,18,-2,1409591,3.7402,0.3804,,
edu4schools.gr,19,2,1333437,5.9855,0.1768,,
uth.gr,20,-2,1195262,4.6197,0.309,,
