id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
cosmossport.gr,1,5,2474191,2.9259,0.6184,,
shein.com,2,2,2062403,4.5816,0.5548,https://static.semrush.com/power-pages/media/favicons/shein-com-favicon-47ceee2d.png,SHEIN
zara.com,3,-2,1501668,1.9802,0.6106,https://static.semrush.com/power-pages/media/favicons/zara-com-favicon-c65ba3c7.png,Zara
epapoutsia.gr,4,-2,1498229,1.5433,0.6978,,
celestino.gr,5,3,1425496,2.7195,0.6653,,Celestino
intersport.gr,6,-3,1395609,2.8642,0.5831,,
hm.com,7,-2,1272010,3.5799,0.5525,https://static.semrush.com/power-pages/media/favicons/hm-com-favicon-1732fb0a.png,H&M
sinsay.com,8,2,1184787,4.1213,0.583,,Sinsay
zakcret.gr,9,0,1100490,2.3838,0.6047,,
adidas.gr,10,-3,999351,1.5779,0.7546,,
glami.gr,11,0,993624,3.6901,0.5516,,Glami
aboutyou.gr,12,0,752744,2.237,0.5015,,
zappatos.gr,13,8,599666,1.9525,0.6527,,
laredoute.gr,14,0,568390,2.9537,0.6033,,
sneaker10.gr,15,12,560811,2.1965,0.6817,,
sportsfactory.gr,16,14,535582,2.7726,0.645,,
funky-buddha.com,17,-4,508997,2.8701,0.6583,,
mango.com,18,-3,502338,3.3611,0.5279,,
modivo.gr,19,-5,478642,1.497,0.6547,,
thefashionproject.gr,20,0,428529,2.4141,0.7178,,
