id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
yahoo.com,1,0,15636442,2.471,0.5165,,Yahoo
winbank.gr,2,0,7400346,3.2148,0.2035,,Winbank
nbg.gr,3,0,6291710,2.8349,0.3223,,National Bank of Greece
eurobank.gr,4,0,5020477,1.6713,0.6325,,
kyc.gov.gr,5,2,2612479,2.0125,0.4526,,
piraeusbank.gr,6,-1,2436359,1.4886,0.7187,,
paypal.com,7,-1,2297601,3.4754,0.2655,https://static.semrush.com/power-pages/media/favicons/paypal-com-favicon-ed31bc43.png,PayPal
vivawallet.com,8,2,1143343,1.7926,0.5793,,
investing.com,9,-1,1088011,1.6691,0.5882,https://static.semrush.com/power-pages/media/favicons/investing-com-favicon-dcdc244b.png,
revolut.com,10,2,925705,1.7059,0.6629,,
alphaecommerce.gr,11,0,849353,4.0922,0.1366,,
coinmarketcap.com,12,-3,762572,2.3897,0.5382,https://static.semrush.com/power-pages/media/favicons/coinmarketcap-com-favicon-e687767a.png,CoinMarketCap
paysafecard.com,13,0,608149,2.2679,0.6323,,
tradingview.com,14,2,561255,1.6253,0.7362,https://static.semrush.com/power-pages/media/favicons/tradingview-com-favicon-5ce990e1.png,TradingView
binance.com,15,0,487363,3.348,0.4782,https://static.semrush.com/power-pages/media/favicons/binance-com-favicon-43365839.ico,Binance
etoro.com,16,2,375853,1.5911,0.8013,https://static.semrush.com/power-pages/media/favicons/etoro-com-favicon-8d34d8eb.png,eToro
modirum.com,17,3,354022,2.0421,0.2063,,
arcot.com,18,1,287615,2.1475,0.0204,,
safecharge.com,19,6,285348,1.8959,0.649,,
stripe.com,20,4,275093,1.4788,0.7886,,
