id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
twitch.tv,1,0,5128678,2.3113,0.5746,https://static.semrush.com/power-pages/media/favicons/twitch-tv-favicon-d6025c14.png,Twitch
unboxholics.com,2,0,3226705,1.3892,0.8029,,
discord.com,3,0,2317240,2.1801,0.6477,https://static.semrush.com/power-pages/media/favicons/discord-com-favicon-07dca80a.ico,Discord
farmerama.com,4,5,1581130,2.2039,0.5695,,
steampowered.com,5,-1,1254047,2.4492,0.5753,,Steam
ign.com,6,-1,1251443,1.5009,0.771,https://static.semrush.com/power-pages/media/favicons/ign-com-favicon-8f8dfe3e.ico,IGN
steamcommunity.com,7,-1,1031216,1.7244,0.7109,,Steam Community
playstation.com,8,0,961305,2.1398,0.6243,https://static.semrush.com/power-pages/media/favicons/playstation-com-favicon-475f3690.png,PlayStation
games.gr,9,13,957272,5.7553,0.378,,
poki.com,10,1,942475,3.262,0.7121,,Poki
gamespot.com,11,-1,826901,1.5869,0.79,https://static.semrush.com/power-pages/media/favicons/gamespot-com-favicon-793fe1ee.png,GameSpot
gamerant.com,12,2,752138,1.197,0.8442,,
n4g.com,13,0,702400,2.1352,0.1904,,
wowhead.com,14,1,682485,2.192,0.5635,https://static.semrush.com/power-pages/media/favicons/wowhead-com-favicon-92190466.ico,Wowhead
epicgames.com,15,-8,667347,2.4041,0.5693,https://static.semrush.com/power-pages/media/favicons/epicgames-com-favicon-25c285e0.png,Epic Games
uesp.net,16,0,624568,2.6037,0.5427,,
paysafecard.com,17,-5,608149,2.2679,0.6323,,
boardgamearena.com,18,0,559933,2.5723,0.5051,,
ea.com,19,-3,545434,2.4917,0.6853,https://static.semrush.com/power-pages/media/favicons/ea-com-favicon-43b7cb9e.jpg,Electronic Arts
lichess.org,20,-7,531403,12.2655,0.1636,https://static.semrush.com/power-pages/media/favicons/lichess-org-favicon-2c4311c2.png,Lichess
