id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
spitogatos.gr,1,1,5755185,2.6563,0.5862,,Spitogatos
xe.gr,2,-1,5615035,2.7518,0.5334,,
spiti24.gr,3,0,730327,3.7406,0.435,,Spiti24
landea.gr,4,0,343424,2.6495,0.4992,,
goldenhome.gr,5,5,219293,3.1765,0.5485,,Golden Home
zillow.com,6,0,141585,2.4141,0.5217,,Zillow
tospitimou.gr,7,1,124926,3.8474,0.5581,,Tospitimou
plot.gr,8,-1,122486,2.1367,0.6848,,
remax.gr,9,0,122031,3.2913,0.6119,,
bazaraki.com,10,5,114537,2.6891,0.3877,,
immobiliare.it,11,12,92662,3.1207,0.5966,https://static.semrush.com/power-pages/media/favicons/immobiliare-it-favicon-a9367fd2.png,Immobiliare.it
megahouse.gr,12,1,74029,1.779,0.6631,,
rightmove.co.uk,13,1,70691,2.6166,0.5868,https://static.semrush.com/power-pages/media/favicons/rightmove-co-uk-favicon-90d305af.png,RightMove
leboncoin.fr,14,-2,66700,1.7771,0.6787,,Leboncoin
airbnb.co.uk,15,0,65010,1.7422,0.6367,https://static.semrush.com/power-pages/media/favicons/www-airbnb-co-uk-favicon-31ed5c40.png,Airbnb UK
qasa.se,16,-11,54540,1.05,0.95,,
nomikosodigos.info,17,0,54206,1.222,0.778,,
craigslist.org,18,12,45967,2.7111,0.4105,https://static.semrush.com/power-pages/media/favicons/craigslist-org-favicon-c30bf3a9.ico,Craigslist
housinganywhere.com,19,-2,43745,4.4426,0.5866,,
blocket.se,20,-4,43231,2.5168,0.5149,https://static.semrush.com/power-pages/media/favicons/blocket-se-favicon-03076b37.png,Blocket
