id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
e-food.gr,1,0,3612339,4.4202,0.3646,,
pizzafan.gr,2,0,312848,4.9482,0.4247,,
mcdonalds.gr,3,0,221711,2.0473,0.6121,,
deliveroo.co.uk,4,2,101952,1.824,0.6156,,Deliveroo UK
lobster.gr,5,-1,32128,2.0637,0.6231,,
pizzatropical.gr,6,19,23848,3.2156,0.1223,,
imenupro.com,7,7,22484,1.0423,0.9577,,
stadlermade.com,8,0,18710,1.7053,0.6607,,
marionskitchen.com,9,20,18230,1.1812,0.8736,,
joshuaweissman.com,10,8,15514,1.0,1.0,,
ubereats.com,11,1,13016,1.6023,0.8055,,Uber Eats
mcdonalds.cz,12,0,12362,5.0,0.5,,
hardrockcafe.com,13,0,12060,1.2261,0.7739,,
portal.restaurant,14,0,9802,4.5,0.2692,,
opentable.com,15,0,9617,1.2396,0.8594,,
vincenzosplate.com,16,5,8687,1.1096,0.8904,,
mcdonaldsapps.com,17,-9,7816,1.0512,0.9744,,
budgetbytes.com,18,0,7735,1.3526,0.6474,,
takeaway.com,19,-10,7503,1.3643,0.6364,https://static.semrush.com/power-pages/media/favicons/takeaway-com-favicon-035295b7.ico,Takeaway.com
eatthismuch.com,20,0,7291,1.3102,0.8449,,
