id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
sport24.gr,1,1,57864993,2.3188,0.4455,https://static.semrush.com/power-pages/media/favicons/www-sport24-gr-favicon-171f019d.png,Sport24
sdna.gr,2,-1,56792143,2.775,0.3962,https://static.semrush.com/power-pages/media/favicons/www-sdna-gr-favicon-2b6fc289.png,SDNA
gazzetta.gr,3,0,50940129,2.7098,0.4178,https://static.semrush.com/power-pages/media/favicons/gazzetta-gr-favicon-613f8a63.png,
sport-fm.gr,4,0,38286376,3.2035,0.3657,https://static.semrush.com/power-pages/media/favicons/www-sport-fm-gr-favicon-aac368b3.jpg,Sport-FM
aek365.org,5,0,28826004,2.8218,0.3951,https://static.semrush.com/power-pages/media/favicons/www-aek365-org-favicon-5edc77df.png,
sportdog.gr,6,0,18640944,2.2238,0.4368,,Sport Dog
enwsi.gr,7,0,14151688,2.4897,0.405,,
to10.gr,8,0,12311271,2.5589,0.3903,,
metrosport.gr,9,1,11041818,2.0719,0.4395,,
paok24.com,10,2,7767259,2.5144,0.3319,,
sportime.gr,11,0,7510097,1.8657,0.5305,,
flashscore.gr,12,-3,7110916,3.7368,0.4036,,
fosonline.gr,13,0,6838804,2.1134,0.4242,,
agones.gr,14,0,6275276,3.1727,0.4948,https://static.semrush.com/power-pages/media/favicons/agones-gr-favicon-7a17564a.png,
newspao.gr,15,0,5916717,1.885,0.5299,,
gavros.gr,16,0,3542293,3.0542,0.3695,,
olaprasina1908.gr,17,2,3364441,2.3078,0.5323,,
novasports.gr,18,2,2028277,1.8747,0.718,,
inpaok.com,19,2,1965869,2.0624,0.4519,,
livescore.in,20,3,1733014,3.5894,0.2941,https://static.semrush.com/power-pages/media/favicons/www-livescore-in-favicon-2a0011d0.png,LiveScore India
