id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
car.gr,1,0,23320166,2.7909,0.5597,,Car.gr
newsauto.gr,2,0,3819052,1.5421,0.7128,,
mobile.de,3,0,1859495,3.9047,0.3602,,mobile.de
autotriti.gr,4,0,1624258,2.0253,0.6102,,Autotriti
gocar.gr,5,0,1620319,1.7255,0.73,,
4troxoi.gr,6,0,1176118,1.8405,0.5939,,
autodoc.gr,7,0,741165,2.7363,0.5525,,
autoblog.gr,8,1,725472,1.9864,0.5578,,
mobile.bg,9,8,717421,2.1546,0.5301,,Mobile.bg
mototriti.gr,10,1,657028,1.9042,0.6887,,
caranddriver.gr,11,2,606664,1.9497,0.586,,
formula1.com,12,0,587231,2.7703,0.4509,https://static.semrush.com/power-pages/media/favicons/www-formula1-com-favicon-8af4e915.png,Formula 1
bikeit.gr,13,-3,568447,2.1293,0.491,,
drive.gr,14,0,511425,1.6564,0.6878,,
auto-data.net,15,-3,485064,4.4839,0.4036,,
toyota.gr,16,-8,414228,3.7145,0.4492,,
autogreeknews.gr,17,-2,323143,2.7445,0.7647,,
ets2.lt,18,0,312137,2.3488,0.44,,
auto.bg,19,0,269365,1.6529,0.7169,,
ewrc-results.com,20,0,242236,5.7082,0.2329,,
