id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
trip.com,1,0,5007856,2.0911,0.6746,https://static.semrush.com/power-pages/media/favicons/trip-com-favicon-8230f336.ico,
cathaypacific.com,2,1,2230162,5.6146,0.3419,,
hkitalk.net,3,1,1981871,8.5976,0.272,,
hkexpress.com,4,-2,1788833,4.2415,0.3593,,
skyscanner.com.hk,5,0,1067727,3.4804,0.4218,,
asiamiles.com,6,4,368914,1.7173,0.6732,,
ctrip.com,7,2,356165,2.471,0.5406,,
hongkongairport.com,8,-1,265453,1.8619,0.643,,
flypeach.com,9,0,249379,2.7601,0.5709,,
ana.co.jp,10,19,249286,2.6052,0.6136,,
meethk.com,11,-3,243407,1.4279,0.6953,,
dji.com,12,2,220480,2.1393,0.5974,,
uber.com,13,0,214883,2.2372,0.5651,,Uber
airasia.com,14,1,211014,2.3981,0.4956,,AirAsia
urbtix.hk,15,-9,190402,3.6785,0.5371,,
flightaware.com,16,0,182301,2.2745,0.4815,,
windy.com,17,2,172281,2.207,0.6054,,
jal.co.jp,18,0,164537,3.0804,0.3494,,
singaporeair.com,19,4,160811,2.7188,0.5941,,
funtime.com.tw,20,0,148380,1.1969,0.882,,
