id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
nike.com.hk,1,0,925656,3.0829,0.5584,,
mercari.com,2,1,732722,2.4421,0.5984,https://static.semrush.com/power-pages/media/favicons/mercari-com-favicon-22d946f8.png,Mercari
adidas.com.hk,3,-1,529891,2.7395,0.5637,,
zalora.com.hk,4,0,204244,3.5221,0.5984,,
mrporter.com,5,2,178620,2.5871,0.3589,,
uniqlo.com,6,-1,148892,3.3173,0.5086,,UNIQLO
iteshop.com,7,9,128399,2.6346,0.5955,,
hm.com,8,0,121586,2.5582,0.4831,https://static.semrush.com/power-pages/media/favicons/hm-com-favicon-1732fb0a.png,H&M
zara.com,9,5,114982,2.9817,0.329,https://static.semrush.com/power-pages/media/favicons/zara-com-favicon-c65ba3c7.png,Zara
louisvuitton.com,10,9,105755,2.3445,0.5359,,Louis Vuitton
endclothing.com,11,0,103200,2.7073,0.5073,,End Clothing
prontodenim.com,12,0,102300,1.0,1.0,,
zozo.jp,13,15,102245,8.0325,0.4872,,Zozotown
nextdirect.com,14,0,94493,2.5179,0.7739,,
lululemon.com.hk,15,7,91342,2.887,0.4108,,
stockx.com,16,-3,86132,2.3052,0.5311,,StockX
crudo-leather.com,17,0,84622,2.3331,0.7466,,
thenorthface.com.hk,18,0,83868,3.5226,0.2011,,
charleskeith.com,19,-10,81015,3.1455,0.2767,,
ssense.com,20,-5,78714,5.8491,0.4648,,SSENSE
