id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
hkjunkcall.com,1,0,1315062,1.4783,0.7138,,
centanet.com,2,1,1296977,3.092,0.5423,,
28hse.com,3,-1,1225638,4.4029,0.4202,,
midland.com.hk,4,0,895568,2.3083,0.6497,,
house730.com,5,0,701282,2.1618,0.7149,,
property.hk,6,0,677777,3.8584,0.4439,,
spacious.hk,7,0,533342,1.3513,0.8175,,
emperorcinemas.com,8,2,364314,3.2173,0.4347,,
shkp.com,9,2,321191,3.0567,0.5085,,
rightmove.co.uk,10,-1,199515,6.9692,0.2917,https://static.semrush.com/power-pages/media/favicons/rightmove-co-uk-favicon-90d305af.png,RightMove
hkp.com.hk,11,7,189531,1.8694,0.6875,,
ricacorp.com,12,-4,151079,3.3291,0.6241,,
fang.com,13,15,132654,3.5777,0.5453,,
parkhaus.hk,14,1,126381,1.2697,0.8173,,
swireproperties.com,15,6,121231,2.954,0.5184,,
squarefoot.com.hk,16,4,117835,1.5113,0.6107,,
anjuke.com,17,-1,110371,4.4155,0.3827,,
oneday.com.hk,18,-1,106904,1.1578,0.9223,,
realestate.com.au,19,0,103417,2.4338,0.6825,https://static.semrush.com/power-pages/media/favicons/realestate-com-au-favicon-a713df81.png,Realestate.com.au
zaobao.com,20,-6,96812,2.0707,0.6221,,
