id,position,change,visits,pages_per_visit,bounce_rate,favicon,brand_name
order.place,1,7,606570,2.2484,0.7649,,
mcdonalds.com.hk,2,-1,460568,1.857,0.712,,
kfchk.com,3,1,290838,1.6569,0.6552,,
genkisushi.com.hk,4,-2,170506,6.3037,0.3374,,
pizzahut.com.hk,5,-2,134752,2.4057,0.477,,
savorjapan.com,6,-1,60854,1.3644,0.8977,,
foodpanda.com,7,0,54525,1.0,1.0,,
mcdonalds.com,8,7,32462,1.5332,0.6368,https://static.semrush.com/power-pages/media/favicons/mcdonalds-com-favicon-56ed9994.jpg,McDonald's
oddle.me,9,-3,28263,1.9512,0.6081,,
ubereats.com,10,-3,27044,2.3383,0.7645,,Uber Eats
pizzahutsurvey.com,11,10,25298,1.2751,0.7249,,
mcdonalds.co.jp,12,-1,24847,2.4038,0.6385,,McDonalds Japan
opentable.com,13,0,23723,1.8105,0.7646,,
deliveroo.net,14,-5,22527,1.5239,0.7073,,
deliveroo.co.uk,15,3,20217,1.867,0.4711,,Deliveroo UK
doordash.com,16,-3,17515,3.4275,0.3726,,DoorDash
cote.co.uk,17,0,15796,1.4406,0.5594,,
covermanager.com,18,0,13920,1.5,0.5,,
grilld.com.au,19,0,13920,1.0,1.0,,
muerdelapasta.com,20,0,13920,3.0,0.0,,
